name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_79cf4-3ad0c;oneDev;1;0;0;0;0;false;false
rev_23abd-d3e8a;oneDev;1;0;0;0;0;false;false
rev_61bfd-1d9a3;oneDev;1;0;0;0;0;false;false
rev_2e4bb-f73e9;oneDev;1;0;0;0;0;false;false
rev_20c09-05db4;twoDevs;2;0;0;0;0;false;false
rev_209d9-1b5bc;twoDevs;2;0;0;0;0;false;false
rev_fc91f-9442a;twoDevs;2;0;0;0;0;false;false
rev_2ff88-fd195;moreThanTwoDevs;5;0;0;0;0;false;false
rev_35a2f-1acd4;twoDevs;2;0;0;0;0;false;false
rev_ea606-35a2f;twoDevs;2;0;0;0;0;false;false
rev_54429-13148;twoDevs;2;0;0;0;0;false;false
rev_a85c3-0348b;oneDev;1;0;0;0;0;false;false
rev_ddd1b-a8ab9;twoDevs;2;0;0;0;0;false;false
rev_ee6dc-a4257;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a052f-4d88a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_59827-b5da1;oneDev;1;0;0;0;0;false;false
rev_c3c54-f25fb;oneDev;1;0;0;0;0;false;false
rev_f6252-ebb58;twoDevs;2;0;0;0;0;false;false
rev_9361d-b2afd;twoDevs;2;0;0;0;0;false;false
rev_02da0-b05d1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_38d48-2b2ed;twoDevs;2;0;0;0;0;false;false
rev_6e98d-f9123;twoDevs;2;0;0;0;0;false;false
rev_513fb-082d5;moreThanTwoDevs;5;0;0;0;0;false;false
rev_dd634-b572a;twoDevs;2;0;0;0;0;false;true
rev_e338d-3356c;twoDevs;2;0;0;0;0;false;false
rev_be951-05ac0;moreThanTwoDevs;9;0;0;0;0;false;false
rev_c8ba2-6f64b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c6343-0d57c;twoDevs;2;0;0;0;0;false;false
rev_a2f83-6c0b6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f0d6b-8cd1a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_58de5-90ae7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_cc3ed-9d864;moreThanTwoDevs;4;0;0;0;0;false;false
rev_525e3-fc935;twoDevs;2;0;0;0;0;false;false
rev_ff973-260dd;twoDevs;2;0;0;0;0;false;false
rev_45879-d9c06;twoDevs;2;0;0;0;0;false;false
rev_b6033-05efa;twoDevs;2;0;0;0;0;false;false
rev_54da9-5de10;twoDevs;2;0;0;0;0;false;false
rev_4a252-3137f;twoDevs;2;0;0;0;0;false;false
rev_f2d15-c8c59;oneDev;1;0;0;0;0;false;false
rev_91317-5cba8;twoDevs;2;0;0;0;0;false;false
rev_685b0-ef9f1;twoDevs;2;0;0;0;0;false;false
rev_f495e-ec00b;moreThanTwoDevs;7;0;0;0;0;false;false
rev_4398f-8baeb;twoDevs;2;0;0;0;0;false;false
rev_010cc-2ae3c;oneDev;1;0;0;0;0;false;false
rev_66104-39b74;twoDevs;2;0;0;0;0;false;false
rev_1fb52-56c62;twoDevs;2;0;0;0;0;false;false
rev_684c1-d2e77;twoDevs;2;0;0;0;0;false;false
rev_21d72-d8760;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d87a-4807d;twoDevs;2;0;0;0;0;false;false
rev_8e9af-5556b;twoDevs;2;0;0;0;0;false;false
rev_e4302-d6a0e;twoDevs;2;0;0;0;0;false;false
rev_d7ca5-cceae;twoDevs;2;0;0;0;0;false;false
rev_f8490-161e7;moreThanTwoDevs;6;0;0;0;0;false;false
rev_ec38c-d5dcd;twoDevs;2;0;0;0;0;false;false
rev_6e9e9-51c95;twoDevs;2;0;0;0;0;false;false
rev_88d1f-0fae6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_70cb8-aa728;moreThanTwoDevs;7;0;0;0;0;false;false
rev_55e23-89783;moreThanTwoDevs;8;0;0;0;0;false;false
rev_271b3-f18c0;moreThanTwoDevs;9;0;0;0;0;false;false
rev_9f4d4-62bb9;moreThanTwoDevs;10;0;0;0;0;false;false
rev_dc0a4-8a3c1;moreThanTwoDevs;13;0;0;0;0;false;false
rev_fc85b-6bfca;twoDevs;2;0;0;0;0;false;false
rev_637be-6df2b;twoDevs;2;0;0;0;0;false;false
rev_fc8ae-8d218;moreThanTwoDevs;25;0;0;0;0;false;false
rev_bd4e7-76fd5;moreThanTwoDevs;13;0;0;0;0;false;false
rev_c9907-73411;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e156c-5ac60;oneDev;1;0;0;0;0;false;false
rev_f47b8-3e136;oneDev;1;0;0;0;0;false;false
rev_9933c-2c15b;oneDev;1;0;0;0;0;false;false
rev_07caa-11d86;oneDev;1;0;0;0;0;false;false
rev_30273-45159;twoDevs;2;0;0;0;0;false;false
rev_e15a6-a9d10;twoDevs;2;0;0;0;0;false;false
rev_5ca05-f1397;twoDevs;2;0;0;0;0;false;false
rev_7cb5c-e72c8;twoDevs;2;0;0;0;0;false;false
rev_a64af-1b968;twoDevs;2;1;0;0;0;true;false
rev_1b968-77962;twoDevs;2;0;0;0;0;false;false
rev_26c7e-57d70;oneDev;1;0;0;0;0;false;false
rev_7f7a0-a7b69;oneDev;1;0;0;0;0;false;false
rev_f55b5-217c1;oneDev;1;0;0;0;0;false;false
