name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_8da43-435a2;moreThanTwoDevs;5;11;0;0;0;true;false
rev_cc4ba-f2948;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3dabc-92e2e;moreThanTwoDevs;6;0;0;0;0;false;false
rev_e5591-20db4;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d1142-55b37;moreThanTwoDevs;14;7;0;0;0;true;false
rev_df6c1-2fe80;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2ba78-aac4e;moreThanTwoDevs;7;0;0;0;0;false;false
rev_f1a87-9cf23;moreThanTwoDevs;8;2;0;0;0;true;false
rev_1c66c-686e9;moreThanTwoDevs;11;1;0;0;0;true;false
rev_d56d7-19244;moreThanTwoDevs;6;0;0;0;0;false;false
rev_3a4d4-8b7ab;moreThanTwoDevs;11;0;0;0;0;false;false
rev_977bb-09653;moreThanTwoDevs;7;1;1;1;1;true;false
rev_aff23-e7136;moreThanTwoDevs;9;6;3;2;0;true;false
rev_ee763-3a994;moreThanTwoDevs;6;0;0;0;0;false;false
rev_0aa41-de3d0;moreThanTwoDevs;6;0;0;0;0;false;false
rev_399c9-49508;moreThanTwoDevs;9;2;0;1;0;true;false
rev_45268-620b2;moreThanTwoDevs;7;0;0;0;0;false;true
rev_1a72b-ba612;moreThanTwoDevs;9;8;1;2;0;true;false
rev_68356-e18dc;moreThanTwoDevs;15;204;6;34;1;true;false
rev_98d34-8ad3d;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d2e80-eaf2a;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ace9f-24e41;moreThanTwoDevs;12;8;0;1;0;true;true
rev_9b83a-79138;moreThanTwoDevs;13;12;6;4;4;true;false
rev_60473-12a35;moreThanTwoDevs;6;1;0;0;0;true;false
rev_fcb82-39fad;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3f4c9-81dba;moreThanTwoDevs;8;6;1;1;1;true;false
rev_a7875-3f255;moreThanTwoDevs;9;7;2;0;0;true;true
rev_cf8ac-c9c56;moreThanTwoDevs;15;5;0;1;0;true;false
rev_c70f8-c8054;moreThanTwoDevs;10;0;0;0;0;false;false
rev_1588c-26f10;moreThanTwoDevs;16;51;22;20;13;true;true
rev_05bfc-521fb;moreThanTwoDevs;5;1;0;0;0;true;false
rev_da65d-c6617;moreThanTwoDevs;6;0;0;0;0;false;false
rev_ef2e9-da659;moreThanTwoDevs;14;9;0;3;0;true;true
rev_c5694-c7c03;moreThanTwoDevs;15;26;9;5;4;true;true
rev_44e74-7d236;moreThanTwoDevs;11;6;2;4;1;true;true
