name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_b49c0-25803;moreThanTwoDevs;3;0;0;0;0;false;false
rev_91ca6-31a8d;twoDevs;2;0;0;0;0;false;false
rev_f8c29-c3a2b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c09ac-7580e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bd48e-75b88;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a409b-02398;moreThanTwoDevs;5;0;0;0;0;false;false
rev_1c221-99a87;twoDevs;2;0;0;0;0;false;false
rev_5dcaa-cb34f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_cde6e-5b190;twoDevs;2;0;0;0;0;false;false
rev_06966-5a95d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c6dc6-00da8;twoDevs;2;0;0;0;0;false;false
rev_61022-fbc5b;twoDevs;2;0;0;0;0;false;false
rev_2ae47-6ea25;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c347c-77a93;twoDevs;2;0;0;0;0;false;false
rev_ac45f-8c439;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4f830-8c439;twoDevs;2;0;0;0;0;false;false
rev_8c439-4f830;twoDevs;2;0;0;0;0;false;false
rev_99abc-e48e5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c07a2-19508;moreThanTwoDevs;5;0;0;0;0;false;false
rev_3d41e-c07a2;moreThanTwoDevs;4;7;1;7;1;true;true
rev_09ec0-4b928;moreThanTwoDevs;3;0;0;0;0;false;false
rev_441b9-90ad4;moreThanTwoDevs;6;0;0;0;0;false;false
rev_1a77d-25355;moreThanTwoDevs;6;1;0;1;0;true;false
rev_5a212-15f01;moreThanTwoDevs;3;0;0;0;0;false;false
rev_513a9-c4d4d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bc13c-99c4d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4b541-99c4d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d0545-9cebc;twoDevs;2;0;0;0;0;false;false
rev_75888-032b5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6f84d-032b5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_90eff-23c29;moreThanTwoDevs;3;0;0;0;0;false;false
rev_661c0-b9ba6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ef2cd-8f714;moreThanTwoDevs;3;0;0;0;0;false;false
rev_59414-c3a73;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c150d-77d62;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c6459-46272;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ec2ba-790f2;moreThanTwoDevs;3;2;0;2;0;true;false
rev_3bba2-9a570;moreThanTwoDevs;3;0;0;0;0;false;false
rev_98ba0-ee36c;moreThanTwoDevs;6;2;0;0;0;true;false
rev_ee36c-d67c5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b39ee-fbc9d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2185e-a1271;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a1271-e98e0;twoDevs;2;0;0;0;0;false;false
rev_de965-772d5;oneDev;1;0;0;0;0;false;false
rev_3a16c-37309;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0c082-c3624;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b0e4-4776f;twoDevs;2;0;0;0;0;false;false
rev_461ff-4776f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1c153-cff4c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d304f-24470;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b928c-a5aad;moreThanTwoDevs;4;0;0;0;0;false;false
rev_388e6-f745c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_216e9-eca2c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2aa4e-e066f;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9cc11-2b395;twoDevs;2;0;0;0;0;false;false
rev_46ac0-6df45;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4f41b-73457;moreThanTwoDevs;6;0;0;0;0;false;false
rev_ca108-1fa0e;moreThanTwoDevs;7;1;0;0;0;true;true
rev_1fa0e-6031b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7f9b6-0d501;moreThanTwoDevs;3;0;0;0;0;false;true
rev_1fa0e-0d501;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bd226-75228;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4988a-4c384;moreThanTwoDevs;3;0;0;0;0;false;false
rev_591dc-e0e91;twoDevs;2;0;0;0;0;false;false
rev_d16b7-87ad9;twoDevs;2;0;0;0;0;false;false
rev_5216a-d28cb;twoDevs;2;0;0;0;0;false;false
rev_47365-f7140;twoDevs;2;0;0;0;0;false;false
rev_f0783-9bea6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4743b-9893e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cb870-fae41;moreThanTwoDevs;3;0;0;0;0;false;false
rev_959aa-39ec6;twoDevs;2;0;0;0;0;false;false
rev_49bcf-3d9f5;twoDevs;2;0;0;0;0;false;false
rev_3d9f5-d6e09;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f5617-e1303;twoDevs;2;0;0;0;0;false;false
rev_e1303-af96e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dcfe0-88761;twoDevs;2;0;0;0;0;false;false
rev_49b5d-42cbc;moreThanTwoDevs;3;20;2;14;2;true;false
rev_ed19f-98e77;twoDevs;2;0;0;0;0;false;false
rev_72f6d-c84eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_85952-94d62;twoDevs;2;0;0;0;0;false;false
rev_e17ef-06955;twoDevs;2;2;0;1;0;true;false
rev_455cd-4beb6;twoDevs;2;0;0;0;0;false;false
rev_1cdba-eb9ac;twoDevs;2;0;0;0;0;false;false
rev_ef5d7-606bc;twoDevs;2;0;0;0;0;false;false
rev_b13d0-8ac87;oneDev;1;2;0;0;0;true;false
rev_acc4b-deb01;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5426e-0007c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_79dde-71d71;moreThanTwoDevs;3;1;0;0;0;true;false
rev_05891-8ed8b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_6b1a8-74697;twoDevs;2;0;0;0;0;false;false
rev_0cda6-22b7c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ef969-edbf4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_03610-22b7c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_37721-e7221;twoDevs;2;0;0;0;0;false;false
rev_e6938-79deb;moreThanTwoDevs;5;1;0;1;0;true;false
rev_48388-7f637;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7f637-13ac4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_34452-ad5f7;twoDevs;2;0;0;0;0;false;false
rev_ad5f7-fbec2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1de9c-9d801;moreThanTwoDevs;4;0;0;0;0;false;false
