name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_19451-a46fd;twoDevs;2;0;0;0;0;false;false
rev_1e8af-0e43b;twoDevs;2;0;0;0;0;false;false
rev_e3bb5-a315b;oneDev;1;0;0;0;0;false;false
rev_ca711-a3f05;twoDevs;2;0;0;0;0;false;false
rev_d870a-49271;moreThanTwoDevs;3;0;0;0;0;false;false
rev_055b3-7ca0b;twoDevs;2;0;0;0;0;false;false
rev_81b17-ed51c;twoDevs;2;0;0;0;0;false;false
rev_4872a-68987;oneDev;1;0;0;0;0;false;false
rev_d9f81-00758;oneDev;1;0;0;0;0;false;false
rev_20d73-7ce96;twoDevs;2;0;0;0;0;false;false
rev_ccf07-c88b2;twoDevs;2;0;0;0;0;false;false
rev_ccdb2-460a4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_af2d0-e635c;oneDev;1;0;0;0;0;false;false
rev_2e2c1-272e6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e0415-20506;twoDevs;2;0;0;0;0;false;false
rev_0719f-8eb02;twoDevs;2;0;0;0;0;false;false
rev_bd78d-06955;twoDevs;2;0;0;0;0;false;false
rev_8d15f-3b880;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6b910-096f2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b8f93-34400;twoDevs;2;0;0;0;0;false;false
rev_6196d-6ceea;oneDev;1;0;0;0;0;false;false
rev_350bd-e8904;twoDevs;2;0;0;0;0;false;false
rev_a7e6f-8d79a;oneDev;1;0;0;0;0;false;false
rev_a7e6f-8d79a;oneDev;1;0;0;0;0;false;false
rev_fea7f-5850e;oneDev;1;0;0;0;0;false;false
rev_59b2a-c5bc3;oneDev;1;0;0;0;0;false;false
rev_678d9-c5bc3;oneDev;1;0;0;0;0;false;false
rev_b6946-776e7;oneDev;1;0;0;0;0;false;false
rev_b6e8b-776e7;oneDev;1;0;0;0;0;false;false
rev_a061f-6dc03;oneDev;1;0;0;0;0;false;false
rev_3400d-6dc03;oneDev;1;0;0;0;0;false;false
rev_eb1c1-fe2fb;oneDev;1;0;0;0;0;false;false
rev_806e6-fe2fb;oneDev;1;0;0;0;0;false;false
rev_4b807-0ef82;oneDev;1;0;0;0;0;false;false
rev_6edb3-0ef82;oneDev;1;0;0;0;0;false;false
rev_3498e-61147;oneDev;1;0;0;0;0;false;false
rev_82dbb-813fc;oneDev;1;0;0;0;0;false;false
rev_a6e57-813fc;oneDev;1;0;0;0;0;false;false
rev_93487-01e50;oneDev;1;0;0;0;0;false;false
rev_8b904-01e50;oneDev;1;0;0;0;0;false;false
rev_1ac36-86d57;oneDev;1;0;0;0;0;false;false
rev_8aba2-86d57;oneDev;1;0;0;0;0;false;false
rev_389c0-5f257;oneDev;1;0;0;0;0;false;false
rev_4c685-e635c;twoDevs;2;0;0;0;0;false;false
rev_4070e-68987;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5fcc1-a315b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fadb4-6ceea;moreThanTwoDevs;5;0;0;0;0;false;false
rev_327af-b1342;oneDev;1;0;0;0;0;false;false
rev_9f137-3de05;twoDevs;2;0;0;0;0;false;false
rev_fbc87-f22ad;twoDevs;2;0;0;0;0;false;false
rev_4fa04-ad68b;twoDevs;2;0;0;0;0;false;false
rev_8c520-6f897;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2675d-6f897;oneDev;1;0;0;0;0;false;false
rev_0a799-9392c;twoDevs;2;0;0;0;0;false;false
rev_84b97-61b3e;twoDevs;2;0;0;0;0;false;false
rev_78ec4-397c5;twoDevs;2;0;0;0;0;false;false
rev_551be-dfa32;twoDevs;2;0;0;0;0;false;false
rev_0b4e1-32021;twoDevs;2;0;0;0;0;false;false
rev_6cc35-783e8;twoDevs;2;0;0;0;0;false;false
rev_02a63-c48e4;twoDevs;2;0;0;0;0;false;false
rev_51d8a-e340b;twoDevs;2;0;0;0;0;false;false
rev_85a7a-08a8e;moreThanTwoDevs;6;0;0;0;0;false;false
rev_e958d-08a8e;oneDev;1;0;0;0;0;false;false
rev_a3fc3-844c2;twoDevs;2;0;0;0;0;false;false
rev_7b640-35e62;twoDevs;2;0;0;0;0;false;false
rev_2a6fa-35e62;oneDev;1;0;0;0;0;false;false
rev_81474-66815;twoDevs;2;0;0;0;0;false;false
rev_9ab62-60624;moreThanTwoDevs;3;0;0;0;0;false;false
rev_953a9-e9fc4;oneDev;1;0;0;0;0;false;false
rev_2a97c-e9fc4;moreThanTwoDevs;4;0;0;0;0;false;true
rev_b428d-5bb02;twoDevs;2;0;0;0;0;false;false
