name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_306c4-0330d;twoDevs;2;0;0;0;0;false;false
rev_cae6a-7fc93;oneDev;1;0;0;0;0;false;false
rev_79e54-699c0;moreThanTwoDevs;4;2;1;1;1;true;false
rev_79e54-f5fdd;twoDevs;2;0;0;0;0;false;false
rev_904c8-98f77;moreThanTwoDevs;3;0;0;0;0;false;false
rev_89a1e-cc436;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4f843-53230;twoDevs;2;0;0;0;0;false;false
rev_ce6b9-497f0;moreThanTwoDevs;5;0;0;0;0;false;false
rev_120f6-24330;moreThanTwoDevs;7;0;0;0;0;false;false
rev_1db28-c1e01;twoDevs;2;0;0;0;0;false;false
rev_fb763-7b715;moreThanTwoDevs;5;0;0;0;0;false;false
rev_7095a-c1394;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5a241-2881a;moreThanTwoDevs;13;4;0;1;0;true;true
rev_5950a-1a4c5;oneDev;1;0;0;0;0;false;false
rev_8ebf5-54c9c;oneDev;1;0;0;0;0;false;false
rev_78683-f1290;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b42a-f1290;oneDev;1;0;0;0;0;false;false
rev_264b7-60ef0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_06d2d-17e59;twoDevs;2;0;0;0;0;false;false
rev_55bfa-4b0bc;moreThanTwoDevs;4;1;0;0;0;true;false
rev_d8b18-84923;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6fbd-4fa2c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6fbd-2ad8b;twoDevs;2;0;0;0;0;false;false
rev_2dc43-9693b;twoDevs;2;0;0;0;0;false;false
rev_69125-635c5;twoDevs;2;0;0;0;0;false;false
rev_57a33-5a1c9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4278c-1bcfb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_606ca-e36cb;oneDev;1;0;0;0;0;false;false
rev_87310-e0e19;oneDev;1;0;0;0;0;false;false
rev_ef8b9-8639f;twoDevs;2;0;0;0;0;false;false
rev_77719-55467;twoDevs;2;0;0;0;0;false;false
rev_a2e59-c1dd5;moreThanTwoDevs;6;0;0;0;0;false;false
rev_a5f76-13c73;moreThanTwoDevs;7;0;0;0;0;false;false
rev_fc40d-5eb0b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1a203-4c4cb;twoDevs;2;0;0;0;0;false;false
rev_5e052-771d9;twoDevs;2;0;0;0;0;false;false
rev_f97f8-2b80e;twoDevs;2;0;0;0;0;false;false
rev_beec4-c9866;twoDevs;2;0;0;0;0;false;false
rev_585b0-71154;twoDevs;2;0;0;0;0;false;false
rev_c1716-4003e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b0dcd-d9e4b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_96283-5e3a9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_09a3b-35e98;twoDevs;2;0;0;0;0;false;false
rev_161f5-25ce7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0c207-f7929;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f3355-09511;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b9e47-207e8;twoDevs;2;0;0;0;0;false;false
rev_920ec-5cac0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_46f99-b15c9;twoDevs;2;0;0;0;0;false;false
rev_733e5-d60f4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e9d44-e88dd;twoDevs;2;0;0;0;0;false;false
rev_e87af-351c9;twoDevs;2;0;0;0;0;false;false
rev_1cbfb-15dc5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bc047-6b450;twoDevs;2;0;0;0;0;false;false
rev_4abf1-518a8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e4e64-57ca8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3fe51-7a024;moreThanTwoDevs;4;0;0;0;0;false;false
rev_57be7-0dfef;twoDevs;2;0;0;0;0;false;false
rev_b00a6-e5475;twoDevs;2;0;0;0;0;false;false
rev_0a10f-8457d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_97cde-92f93;moreThanTwoDevs;9;0;0;0;0;false;false
rev_97cde-3d580;twoDevs;2;0;0;0;0;false;false
rev_63ecb-55b26;moreThanTwoDevs;3;0;0;0;0;false;false
rev_424df-6668b;twoDevs;2;1;0;0;0;true;false
rev_424df-6668b;twoDevs;2;1;0;0;0;true;false
rev_ccc50-f789a;moreThanTwoDevs;11;0;0;0;0;false;false
rev_3c889-eea21;moreThanTwoDevs;7;0;0;0;0;false;false
