name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_7c660-713ee;twoDevs;2;0;0;0;0;false;false
rev_78568-77a4a;twoDevs;2;1;0;0;0;true;false
rev_4a3b4-c5a37;twoDevs;2;0;0;0;0;false;true
rev_47a05-01693;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6a276-7800b;oneDev;1;0;0;0;0;false;false
rev_dc888-a1953;twoDevs;2;0;0;0;0;false;false
rev_4574f-96fad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e3102-86d99;twoDevs;2;1;0;0;0;true;false
rev_ee4c5-8022d;twoDevs;2;0;0;0;0;false;false
rev_b3323-64c8c;twoDevs;2;0;0;0;0;false;false
rev_84474-96ad5;twoDevs;2;0;0;0;0;false;false
rev_bc18b-3c1e4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_85a0f-6785d;twoDevs;2;0;0;0;0;false;false
rev_a7b92-40d41;twoDevs;2;0;0;0;0;false;false
rev_f1845-ce4d8;twoDevs;2;0;0;0;0;false;false
rev_e1469-51ed1;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d3fd8-70b37;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b0f5f-3fc21;twoDevs;2;0;0;0;0;false;false
rev_beb60-ef5c2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fbe5c-8af03;moreThanTwoDevs;3;0;0;0;0;false;false
rev_98955-f0bef;twoDevs;2;0;0;0;0;false;false
rev_38e16-e9cf5;oneDev;1;0;0;0;0;false;false
rev_78c88-8b2a1;oneDev;1;0;0;0;0;false;false
rev_b1e01-c614e;twoDevs;2;0;0;0;0;false;false
rev_33a20-a4573;oneDev;1;0;0;0;0;false;false
rev_54e38-e60a7;oneDev;1;0;0;0;0;false;false
rev_bcfd7-63263;twoDevs;2;0;0;0;0;false;false
rev_4c8d2-029d3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c85b4-11291;oneDev;1;0;0;0;0;false;false
rev_4e47e-c45fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c86c3-79ea5;twoDevs;2;0;0;0;0;false;false
rev_c510c-efb4b;moreThanTwoDevs;6;0;0;0;0;false;false
rev_9646e-d7540;moreThanTwoDevs;3;3;0;1;0;true;false
rev_a25e5-b8335;twoDevs;2;0;0;0;0;false;false
rev_fcaf4-63442;moreThanTwoDevs;14;1;0;0;0;true;false
rev_aa878-eabf8;twoDevs;2;0;0;0;0;false;false
rev_916af-3e2ee;twoDevs;2;0;0;0;0;false;false
rev_0960d-6d0ef;moreThanTwoDevs;5;0;0;0;0;false;false
rev_c08f9-d3019;twoDevs;2;0;0;0;0;false;false
rev_66118-65281;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c495c-b275d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_237bf-fe6b1;moreThanTwoDevs;5;2;2;2;2;true;false
rev_ea4c0-40a2a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_54fdf-5439f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1c89f-478fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d759c-63c35;moreThanTwoDevs;4;0;0;0;0;false;false
rev_81aa6-b5aab;moreThanTwoDevs;7;1;0;1;0;true;false
rev_31980-a341a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ad063-bb7f1;moreThanTwoDevs;3;0;0;0;0;false;false
