name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_af5da-6d45a;twoDevs;2;0;0;0;0;false;false
rev_762cf-c07f0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bb505-75b27;twoDevs;2;0;0;0;0;false;false
rev_a6610-25b9c;twoDevs;2;0;0;0;0;false;false
rev_e0eda-11e1a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f5822-50d94;twoDevs;2;1;0;0;0;true;false
rev_3efb9-e86a3;twoDevs;2;0;0;0;0;false;false
rev_7d96e-20ce9;twoDevs;2;0;0;0;0;false;false
rev_1d056-51342;oneDev;1;0;0;0;0;false;true
rev_6665c-05eea;oneDev;1;0;0;0;0;false;true
rev_e831b-5ed5e;oneDev;1;0;0;0;0;false;true
rev_3383f-10356;oneDev;1;0;0;0;0;false;true
rev_bf563-b3223;oneDev;1;0;0;0;0;false;true
rev_e3dca-53b22;oneDev;1;0;0;0;0;false;true
rev_3e800-48c93;oneDev;1;0;0;0;0;false;true
rev_5d0bb-54aa2;oneDev;1;0;0;0;0;false;false
rev_8c159-7c24d;oneDev;1;0;0;0;0;false;false
rev_bf628-fcec4;twoDevs;2;0;0;0;0;false;false
rev_1f5b8-90c95;oneDev;1;0;0;0;0;false;false
rev_9efb1-e7633;oneDev;1;0;0;0;0;false;false
rev_cdf25-e7a7c;oneDev;1;2;0;2;0;true;false
rev_f434a-a6e3d;oneDev;1;0;0;0;0;false;false
rev_7c8f8-383e9;oneDev;1;0;0;0;0;false;false
rev_07006-eed6d;twoDevs;2;0;0;0;0;false;false
rev_6711a-1fb8c;twoDevs;2;0;0;0;0;false;false
rev_5c275-2bf97;oneDev;1;0;0;0;0;false;false
rev_69c1f-b3035;oneDev;1;0;0;0;0;false;false
rev_c3bae-c77fd;twoDevs;2;0;0;0;0;false;false
rev_044b8-d8786;twoDevs;2;0;0;0;0;false;true
rev_b6162-f39e3;twoDevs;2;0;0;0;0;false;false
rev_044e7-299ff;oneDev;1;0;0;0;0;false;false
rev_8cd38-4c002;twoDevs;2;0;0;0;0;false;false
rev_4c002-7c772;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1baec-2dd22;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fe2cd-11b27;moreThanTwoDevs;3;0;0;0;0;false;true
rev_e0da2-44c4a;twoDevs;2;0;0;0;0;false;false
rev_9d0a8-deed8;twoDevs;2;0;0;0;0;false;false
rev_39dd8-0fb12;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b8cd-29d0d;moreThanTwoDevs;3;1;0;1;0;true;false
rev_8d30a-3e60b;twoDevs;2;0;0;0;0;false;false
rev_d0911-dd071;twoDevs;2;0;0;0;0;false;false
rev_6a717-424c5;twoDevs;2;0;0;0;0;false;false
rev_df76a-bc489;twoDevs;2;0;0;0;0;false;false
rev_5f2de-e213f;twoDevs;2;0;0;0;0;false;false
rev_d1d39-e213f;oneDev;1;0;0;0;0;false;false
rev_5f2de-60513;twoDevs;2;0;0;0;0;false;false
rev_9b1bc-e1ddf;twoDevs;2;0;0;0;0;false;false
rev_b5bbb-dc63b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d94b8-525ee;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0d4d4-e3d02;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6b5ce-1eab3;twoDevs;2;0;0;0;0;false;false
rev_919db-979e0;twoDevs;2;0;0;0;0;false;false
rev_07e0d-3a06d;moreThanTwoDevs;3;1;0;0;0;true;false
rev_73a21-4f6e1;moreThanTwoDevs;3;2;0;2;0;true;false
rev_7620b-504da;twoDevs;2;0;0;0;0;false;false
rev_20f2f-0f898;twoDevs;2;0;0;0;0;false;false
rev_646cd-d62be;twoDevs;2;0;0;0;0;false;false
rev_b8da2-eca6f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_28a59-85ea1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ee765-151c3;twoDevs;2;0;0;0;0;false;false
rev_f293c-eb3d2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_912dd-f98fe;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3186b-7064f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d7540-81e4b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1da13-27239;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d30e9-a8238;moreThanTwoDevs;5;0;0;0;0;false;false
rev_7951e-2b374;moreThanTwoDevs;4;0;0;0;0;false;false
rev_aee87-3c58a;twoDevs;2;0;0;0;0;false;false
rev_3eb80-05cc1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8e000-ebf8c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6d4f0-d2942;moreThanTwoDevs;4;0;0;0;0;false;false
rev_dde25-42db7;twoDevs;2;0;0;0;0;false;false
rev_64dfb-00eaf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f7a95-7881a;twoDevs;2;0;0;0;0;false;false
rev_6d49a-18364;twoDevs;2;0;0;0;0;false;false
rev_d730b-c477d;twoDevs;2;0;0;0;0;false;false
rev_ced64-1c0e8;oneDev;1;0;0;0;0;false;false
rev_3d765-3173f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3c6e8-3a9bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6282f-f8d53;twoDevs;2;1;0;1;0;true;false
rev_5c95b-51ec3;twoDevs;2;0;0;0;0;false;false
rev_4b048-49874;oneDev;1;0;0;0;0;false;false
rev_a3f54-f2bc1;oneDev;1;0;0;0;0;false;false
rev_acbeb-92a09;oneDev;1;0;0;0;0;false;false
rev_ae6c1-4a687;oneDev;1;0;0;0;0;false;false
rev_622d1-055a9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_01bde-f54cf;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c9e64-40e60;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9c208-c8fa9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_26d9b-bc8e7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4a750-1d871;twoDevs;2;0;0;0;0;false;false
rev_51518-e45d0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d40e2-4c880;moreThanTwoDevs;3;0;0;0;0;false;false
rev_638a9-114b7;twoDevs;2;0;0;0;0;false;false
rev_f76cd-3edf4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1302c-08bf1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_08bf1-11d33;twoDevs;2;0;0;0;0;false;false
rev_22fd0-01061;moreThanTwoDevs;3;0;0;0;0;false;false
rev_66b45-3c725;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3c725-1fc28;twoDevs;2;0;0;0;0;false;false
rev_33480-9c54d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9c54d-3c725;moreThanTwoDevs;3;0;0;0;0;false;false
rev_40854-35e5c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1313a-27aed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_72233-341b1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6fee3-468de;twoDevs;2;0;0;0;0;false;false
rev_28bab-1fafe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee7f5-07130;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ee7f5-0570f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3661-f4c35;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f2b63-fc508;twoDevs;2;0;0;0;0;false;false
rev_b4939-2dce5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c6cdb-6fbc9;moreThanTwoDevs;5;0;0;0;0;false;false
rev_b7411-572ab;moreThanTwoDevs;6;0;0;0;0;false;false
rev_150cd-09746;twoDevs;2;0;0;0;0;false;false
rev_5542b-1a60e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_dc878-e8f5d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3100b-9732c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_60f0c-9d74c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ac716-e788e;twoDevs;2;0;0;0;0;false;false
rev_8ac71-caa3a;twoDevs;2;0;0;0;0;false;false
rev_710c4-94847;moreThanTwoDevs;3;0;0;0;0;false;false
rev_774ae-f31da;moreThanTwoDevs;5;0;0;0;0;false;false
