name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_a7063-3561a;twoDevs;2;0;0;0;0;false;true
rev_27f46-a73e1;twoDevs;2;0;0;0;0;false;false
rev_221a4-20eee;twoDevs;2;0;0;0;0;false;true
rev_6bc1b-e3057;twoDevs;2;0;0;0;0;false;false
rev_96849-f1794;twoDevs;2;0;0;0;0;false;false
rev_2f148-c9836;twoDevs;2;0;0;0;0;false;false
rev_c8cb8-12fd5;twoDevs;2;0;0;0;0;false;false
rev_71802-22c6f;twoDevs;2;0;0;0;0;false;false
rev_ec68f-18f70;twoDevs;2;0;0;0;0;false;false
rev_dd73d-857db;oneDev;1;0;0;0;0;false;false
rev_f6f74-350ae;oneDev;1;0;0;0;0;false;false
rev_801e7-068f3;twoDevs;2;0;0;0;0;false;false
rev_da3a0-f46df;twoDevs;2;0;0;0;0;false;false
rev_c2405-fe0d1;twoDevs;2;0;0;0;0;false;false
rev_9217b-83b7e;twoDevs;2;0;0;0;0;false;false
rev_59fe0-d9114;twoDevs;2;0;0;0;0;false;false
rev_cca65-f4bbe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_35544-31d2f;twoDevs;2;0;0;0;0;false;false
rev_4b42a-657b1;twoDevs;2;0;0;0;0;false;false
rev_bea8c-70c11;oneDev;1;0;0;0;0;false;false
rev_e4f62-a687d;oneDev;1;0;0;0;0;false;false
rev_aea04-df025;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d7f11-76434;twoDevs;2;0;0;0;0;false;false
rev_155c2-76434;twoDevs;2;0;0;0;0;false;false
rev_8fe2b-50f1c;twoDevs;2;0;0;0;0;false;false
rev_b4ee4-ca8b6;twoDevs;2;0;0;0;0;false;false
rev_ec1ba-d3400;twoDevs;2;0;0;0;0;false;true
rev_5f345-eeed6;oneDev;1;0;0;0;0;false;false
rev_2b0e0-08e49;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0dbe1-5f794;twoDevs;2;0;0;0;0;false;false
rev_9dba2-456ce;twoDevs;2;0;0;0;0;false;true
rev_89f33-6a497;oneDev;1;0;0;0;0;false;false
rev_e5eae-e0a83;oneDev;1;0;0;0;0;false;false
rev_f3e64-cbdd9;twoDevs;2;0;0;0;0;false;true
rev_99349-735a9;twoDevs;2;0;0;0;0;false;false
rev_9eee8-54689;twoDevs;2;0;0;0;0;false;false
rev_ec9e8-be751;twoDevs;2;0;0;0;0;false;false
rev_cea6a-2af17;twoDevs;2;0;0;0;0;false;false
rev_4722f-3c507;oneDev;1;0;0;0;0;false;false
rev_4fdbe-64f91;twoDevs;2;0;0;0;0;false;false
rev_3e0f5-25240;oneDev;1;0;0;0;0;false;false
rev_9924a-3f3ad;twoDevs;2;0;0;0;0;false;false
rev_9dd0a-0922c;twoDevs;2;0;0;0;0;false;false
rev_cd5e5-9d985;twoDevs;2;0;0;0;0;false;false
rev_ced00-cf6ce;twoDevs;2;0;0;0;0;false;false
rev_f924c-430a9;moreThanTwoDevs;13;0;0;0;0;false;true
rev_12ff1-24f9d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_81b7e-5bc17;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4297b-762c8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_46433-a83b1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5d56a-c782b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_773b9-c782b;twoDevs;2;0;0;0;0;false;false
rev_47f70-81edc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_da21d-f582a;twoDevs;2;0;0;0;0;false;false
rev_a60bf-58135;twoDevs;2;0;0;0;0;false;false
rev_1760f-3475e;oneDev;1;0;0;0;0;false;false
rev_ac72e-bf611;twoDevs;2;0;0;0;0;false;false
rev_6bbb1-db2b3;moreThanTwoDevs;4;0;0;0;0;false;true
rev_821b7-df6b8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_60eb1-4e3a0;moreThanTwoDevs;5;0;0;0;0;false;true
rev_eea9c-4e3a0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a8ca3-8ab73;twoDevs;2;0;0;0;0;false;false
rev_cee93-8188b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_db67e-e7849;twoDevs;2;0;0;0;0;false;false
rev_1601e-ca80d;twoDevs;2;0;0;0;0;false;false
rev_3c687-5b144;moreThanTwoDevs;5;0;0;0;0;false;false
rev_b7dcf-57bae;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2aac5-04703;twoDevs;2;0;0;0;0;false;false
rev_2cc4d-5b144;twoDevs;2;0;0;0;0;false;false
rev_e4b27-a53bf;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0444a-d0a6f;oneDev;1;0;0;0;0;false;false
rev_95f46-b927c;twoDevs;2;0;0;0;0;false;false
rev_8028e-38d62;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ecc89-a3cce;moreThanTwoDevs;6;0;0;0;0;false;true
rev_efe75-abc42;twoDevs;2;0;0;0;0;false;false
rev_9634a-abc42;moreThanTwoDevs;5;0;0;0;0;false;true
rev_7cb1c-6caed;twoDevs;2;0;0;0;0;false;false
rev_6ab66-8062f;twoDevs;2;0;0;0;0;false;false
rev_75b78-96253;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8a5ee-02042;twoDevs;2;0;0;0;0;false;false
rev_db919-d30d0;moreThanTwoDevs;6;0;0;0;0;false;true
rev_fbf6b-d69b5;moreThanTwoDevs;5;0;0;0;0;false;true
rev_089d7-c6f56;twoDevs;2;0;0;0;0;false;false
rev_795cc-30c24;twoDevs;2;0;0;0;0;false;false
rev_6ca3a-e0b77;oneDev;1;0;0;0;0;false;false
rev_ddd54-555d4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4bb50-a9e7c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3e760-2d3db;twoDevs;2;0;0;0;0;false;false
rev_19a1c-59719;twoDevs;2;0;0;0;0;false;false
rev_0be5d-4c302;twoDevs;2;0;0;0;0;false;false
rev_c09dd-4dde3;twoDevs;2;0;0;0;0;false;false
rev_07c8b-b7eee;twoDevs;2;0;0;0;0;false;false
rev_d41db-84aa2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55fbf-6510f;twoDevs;2;0;0;0;0;false;false
rev_be67b-ab0eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_196e5-bfa17;twoDevs;2;0;0;0;0;false;false
rev_5670b-1fefd;twoDevs;2;0;0;0;0;false;false
rev_f0675-6c864;twoDevs;2;0;0;0;0;false;false
rev_819a6-bf4b2;twoDevs;2;0;0;0;0;false;false
rev_f4ef8-4e5a4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7d948-9ee56;moreThanTwoDevs;3;0;0;0;0;false;false
rev_90dbc-29faa;twoDevs;2;0;0;0;0;false;false
rev_ddd3e-abf7c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_45c6d-60cf6;twoDevs;2;0;0;0;0;false;false
rev_04b17-043b2;twoDevs;2;0;0;0;0;false;false
