name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_e9cfb-1c419;twoDevs;2;0;0;0;0;false;false
rev_badd5-ac858;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fb4b4-329ed;twoDevs;2;0;0;0;0;false;false
rev_b7681-121ff;twoDevs;2;0;0;0;0;false;false
rev_fb4b4-329ed;twoDevs;2;0;0;0;0;false;false
rev_41a1b-83e2d;oneDev;1;0;0;0;0;false;false
rev_8c544-121ff;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0e623-83e2d;oneDev;1;0;0;0;0;false;false
rev_4772e-3448e;oneDev;1;0;0;0;0;false;false
rev_5c25e-c832f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d4b34-4c77a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1e26b-5e13b;moreThanTwoDevs;5;6;0;0;0;true;false
rev_0a75a-0a210;oneDev;1;0;0;0;0;false;false
rev_30329-59df6;twoDevs;2;0;0;0;0;false;false
rev_7a07d-cc948;twoDevs;2;0;0;0;0;false;false
rev_51d27-98fca;moreThanTwoDevs;7;0;0;0;0;false;false
rev_2f74d-292e7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3ca62-4a665;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f498e-6f246;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ed3fc-8cc40;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8f890-28914;twoDevs;2;0;0;0;0;false;false
rev_536b0-12d7c;twoDevs;2;0;0;0;0;false;false
rev_b1a47-483b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_82228-24fce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5fbc9-a6124;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ec7ee-5dd41;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5e44f-49ca7;twoDevs;2;0;0;0;0;false;false
rev_7d8ca-c6e81;twoDevs;2;0;0;0;0;false;false
rev_17e22-cfe29;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9b017-a7aeb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94e6e-da7d4;twoDevs;2;0;0;0;0;false;false
rev_763fd-d316d;twoDevs;2;0;0;0;0;false;false
rev_6a716-27ddf;twoDevs;2;0;0;0;0;false;false
rev_6868c-d5bfd;twoDevs;2;0;0;0;0;false;false
rev_5fcb3-575fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da293-4587e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bf054-78f52;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a2387-af8c1;twoDevs;2;0;0;0;0;false;false
rev_c372d-403eb;twoDevs;2;0;0;0;0;false;false
rev_5585c-ca0c5;moreThanTwoDevs;4;0;0;0;0;false;true
rev_5e16f-612cc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_81b1c-c4c4d;twoDevs;2;0;0;0;0;false;false
rev_b0f8d-5b258;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1b5fc-5b258;twoDevs;2;0;0;0;0;false;false
rev_36fb5-574cb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d48e5-9c7db;twoDevs;2;0;0;0;0;false;false
rev_8d9a1-77f9b;twoDevs;2;0;0;0;0;false;false
rev_c39d7-90e3a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2d105-88ab1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3baa-4cf8d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1bd8a-75921;twoDevs;2;0;0;0;0;false;false
rev_3fadc-b73c1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21fb5-a4b63;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4e1c8-0645b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_19fe1-f4f84;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6a22a-f1c81;twoDevs;2;0;0;0;0;false;false
rev_74904-f01cd;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2a5bb-fbad2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_94ce9-e7453;moreThanTwoDevs;5;0;0;0;0;false;false
rev_047e2-1dd75;twoDevs;2;0;0;0;0;false;false
rev_525d7-d50ff;twoDevs;2;0;0;0;0;false;false
rev_d156c-a762c;twoDevs;2;3;1;1;1;true;false
rev_477ed-2c8bd;twoDevs;2;0;0;0;0;false;false
rev_54418-47810;twoDevs;2;0;0;0;0;false;false
rev_caf3b-48b55;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fb810-65726;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9be53-f66fb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5871b-5dac0;twoDevs;2;0;0;0;0;false;false
rev_09af8-07436;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6290e-fb2e0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9f2d2-53070;twoDevs;2;0;0;0;0;false;false
rev_094dd-cf8ca;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a3d25-22612;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6f4b-050cd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_56923-af1c3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_709f3-6fd66;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0455b-7af57;moreThanTwoDevs;3;0;0;0;0;false;false
rev_52ffc-ecdf5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bb2de-109c4;twoDevs;2;0;0;0;0;false;false
rev_3418c-994a2;twoDevs;2;0;0;0;0;false;false
rev_241d9-05c37;twoDevs;2;0;0;0;0;false;false
rev_a829b-242cc;moreThanTwoDevs;6;8;0;0;0;true;false
rev_034a2-db21c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bd957-6b7fc;twoDevs;2;0;0;0;0;false;false
rev_6e216-93c88;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f83c5-ed5e1;twoDevs;2;0;0;0;0;false;false
rev_57671-bbb45;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ff0cf-c79d2;twoDevs;2;0;0;0;0;false;false
rev_f6958-2dc54;twoDevs;2;0;0;0;0;false;false
rev_5a69b-9e6f4;twoDevs;2;0;0;0;0;false;false
rev_ca48a-0dbb1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2beab-1add6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6de01-2900a;twoDevs;2;0;0;0;0;false;false
rev_6aabf-08952;twoDevs;2;0;0;0;0;false;false
rev_6a73a-50d30;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4a767-fcf94;moreThanTwoDevs;3;0;0;0;0;false;false
rev_119f1-1af5c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_cc587-45a3a;twoDevs;2;0;0;0;0;false;false
rev_a3aad-24adb;twoDevs;2;0;0;0;0;false;false
rev_49a0a-e5e2e;twoDevs;2;0;0;0;0;false;false
rev_25d2e-8de6a;twoDevs;2;0;0;0;0;false;false
rev_67229-80dbb;twoDevs;2;0;0;0;0;false;false
rev_6a407-6536b;twoDevs;2;0;0;0;0;false;false
rev_13958-3c2db;twoDevs;2;0;0;0;0;false;false
rev_95ede-0dd58;twoDevs;2;0;0;0;0;false;false
rev_b0398-a3aef;twoDevs;2;0;0;0;0;false;false
rev_b6e03-cae0e;twoDevs;2;0;0;0;0;false;false
rev_f1828-b7c99;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4b11e-222d2;oneDev;1;0;0;0;0;false;false
rev_995a0-b3a20;twoDevs;2;0;0;0;0;false;false
rev_68aec-2d9b5;twoDevs;2;0;0;0;0;false;false
rev_9af42-4e36c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_93423-4e5a0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d162e-cd2ae;twoDevs;2;0;0;0;0;false;false
rev_799a2-7127f;twoDevs;2;0;0;0;0;false;false
rev_501be-4a179;twoDevs;2;0;0;0;0;false;false
rev_78d95-1e9ed;twoDevs;2;0;0;0;0;false;true
rev_0a768-5015b;twoDevs;2;0;0;0;0;false;false
rev_7eaad-09cc1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_edd5c-ea980;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d0683-52acb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_27a9c-4ef47;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94331-83b79;moreThanTwoDevs;4;0;0;0;0;false;false
rev_54fe8-73875;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae8f7-8a669;moreThanTwoDevs;4;1;1;1;1;true;false
rev_c5dd5-eb9df;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aebb5-fe6a7;twoDevs;2;0;0;0;0;false;false
rev_86df0-f4c10;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f4c10-cc9c2;twoDevs;2;0;0;0;0;false;false
rev_d5154-e9b74;twoDevs;2;0;0;0;0;false;false
rev_1f41c-1abdf;twoDevs;2;0;0;0;0;false;false
rev_4d5ac-b5ae7;twoDevs;2;0;0;0;0;false;false
rev_73ff2-8b7a8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fbc4c-9df75;moreThanTwoDevs;3;0;0;0;0;false;false
rev_481b1-7cf2d;twoDevs;2;0;0;0;0;false;false
rev_cf86b-5a419;twoDevs;2;0;0;0;0;false;false
rev_85442-dde88;twoDevs;2;0;0;0;0;false;false
rev_da5d3-f7492;moreThanTwoDevs;3;0;0;0;0;false;false
rev_77287-ce15d;twoDevs;2;0;0;0;0;false;false
rev_37052-63af8;twoDevs;2;0;0;0;0;false;false
rev_a8b72-7cee2;twoDevs;2;0;0;0;0;false;false
rev_1d18f-e27c2;twoDevs;2;0;0;0;0;false;false
rev_b3ad8-fbc92;twoDevs;2;0;0;0;0;false;false
rev_18108-aadd4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1256f-ba2c0;twoDevs;2;0;0;0;0;false;false
rev_67a90-1bba1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3cfc3-7eff2;twoDevs;2;0;0;0;0;false;false
rev_2194c-a9284;twoDevs;2;0;0;0;0;false;false
rev_06f9a-cf030;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8bc8a-9d8a8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_49c66-7c8a0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fa4ff-606fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a9432-c65c6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f8fef-0d175;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6157c-ea7d1;twoDevs;2;0;0;0;0;false;false
rev_642bf-c24d2;moreThanTwoDevs;9;0;0;0;0;false;false
rev_d10a8-fa5fa;twoDevs;2;0;0;0;0;false;false
rev_bfa3e-758e8;twoDevs;2;0;0;0;0;false;false
rev_36ae5-a4523;twoDevs;2;0;0;0;0;false;false
