name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_06396-ea634;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eba4a-0ea4c;twoDevs;2;0;0;0;0;false;false
rev_4e80e-fc01d;twoDevs;2;0;0;0;0;false;false
rev_7781c-4425f;twoDevs;2;0;0;0;0;false;false
rev_92845-53ef2;twoDevs;2;0;0;0;0;false;false
rev_7e601-ea194;moreThanTwoDevs;3;0;0;0;0;false;false
rev_077ba-0a1d4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0b007-f984c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_28518-08b1d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3608d-33a0c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_54439-3ff6c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cb31f-66220;moreThanTwoDevs;3;0;0;0;0;false;false
rev_434c4-df2e1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6ac2-187d3;twoDevs;2;0;0;0;0;false;false
rev_2a05f-43a33;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ec91c-85e56;moreThanTwoDevs;3;0;0;0;0;false;false
rev_917cf-faeff;twoDevs;2;0;0;0;0;false;false
rev_1d57b-1bc9e;twoDevs;2;0;0;0;0;false;false
rev_19d8c-ac21c;twoDevs;2;0;0;0;0;false;false
rev_729e9-15940;twoDevs;2;0;0;0;0;false;false
rev_18e20-8d06f;twoDevs;2;0;0;0;0;false;false
rev_51a46-d79a5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_86c58-76161;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6032-00c0d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0db28-5aa24;moreThanTwoDevs;4;0;0;0;0;false;false
rev_83d3e-b8c51;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a40fb-7a7ad;twoDevs;2;0;0;0;0;false;false
rev_5f239-b3405;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c37f5-5d4e9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ecb2-2bd54;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1853b-ac0a0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_79153-60b3a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0bfb8-68ebb;twoDevs;2;0;0;0;0;false;false
rev_6ac03-853c4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b0b1c-1ef44;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c5a27-747da;moreThanTwoDevs;3;0;0;0;0;false;false
rev_315ea-48b08;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8fe93-d2fc6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_277fa-961d7;twoDevs;2;0;0;0;0;false;false
rev_df778-99fb9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_51c7b-cbb33;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c39c-2f5e2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1eac-0ce37;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6aee-e5b78;twoDevs;2;0;0;0;0;false;false
rev_21e9c-3355d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e8afa-51e53;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6af7c-084fa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_69913-9a1da;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8ab94-bbea4;twoDevs;2;0;0;0;0;false;false
rev_f3d95-04d74;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3dead-c9d18;moreThanTwoDevs;3;0;0;0;0;false;false
rev_470c7-1c9cb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1ef49-1a1e1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a7258-3d254;twoDevs;2;0;0;0;0;false;false
rev_ccb88-7bcdc;twoDevs;2;0;0;0;0;false;false
rev_6579f-70e64;twoDevs;2;0;0;0;0;false;false
rev_73291-78c66;twoDevs;2;0;0;0;0;false;false
rev_d2f4f-67604;twoDevs;2;0;0;0;0;false;false
rev_d10c2-e4a4c;twoDevs;2;0;0;0;0;false;false
rev_8b574-dca5d;twoDevs;2;0;0;0;0;false;false
rev_2c6be-76805;twoDevs;2;0;0;0;0;false;false
rev_bc342-60d58;twoDevs;2;0;0;0;0;false;false
rev_a52ea-7f424;twoDevs;2;0;0;0;0;false;false
rev_8c281-b5719;twoDevs;2;0;0;0;0;false;false
rev_7b35a-86e5c;twoDevs;2;0;0;0;0;false;false
rev_e9f1e-0c550;twoDevs;2;0;0;0;0;false;false
rev_f740f-7a285;twoDevs;2;0;0;0;0;false;false
rev_73516-689f6;twoDevs;2;0;0;0;0;false;false
rev_d64ae-43f7c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_34ea4-06579;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4e1dd-b1c59;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8571b-1bd9f;twoDevs;2;0;0;0;0;false;false
rev_c37a7-b9580;moreThanTwoDevs;3;0;0;0;0;false;false
rev_514fb-3a087;twoDevs;2;0;0;0;0;false;false
rev_383b4-19429;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c0298-98965;twoDevs;2;0;0;0;0;false;false
rev_fc232-63778;twoDevs;2;0;0;0;0;false;false
rev_72cdf-5bfe7;twoDevs;2;0;0;0;0;false;false
rev_4b7a4-49082;twoDevs;2;0;0;0;0;false;false
rev_83de4-6f6d9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2d2ce-2d45a;twoDevs;2;0;0;0;0;false;false
rev_57cc0-04586;moreThanTwoDevs;3;0;0;0;0;false;false
rev_85e70-92fcc;twoDevs;2;0;0;0;0;false;false
rev_2a319-c7751;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3e445-7e7a3;twoDevs;2;0;0;0;0;false;false
rev_2137b-fcd40;moreThanTwoDevs;3;0;0;0;0;false;false
rev_45680-2bcff;moreThanTwoDevs;3;0;0;0;0;false;false
rev_232b6-c8cd2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b8b2a-b7b02;twoDevs;2;0;0;0;0;false;false
rev_6b1e1-c4efc;twoDevs;2;0;0;0;0;false;false
rev_38467-6fe24;twoDevs;2;0;0;0;0;false;false
rev_6741a-38575;twoDevs;2;0;0;0;0;false;false
rev_65ebc-36c0a;twoDevs;2;0;0;0;0;false;false
rev_4b7e0-5a4c7;twoDevs;2;0;0;0;0;false;false
rev_1c599-2aaf0;twoDevs;2;0;0;0;0;false;false
rev_91db9-220b5;twoDevs;2;0;0;0;0;false;false
rev_f2407-f373e;twoDevs;2;0;0;0;0;false;false
rev_9c330-0665b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_780a2-01006;moreThanTwoDevs;5;0;0;0;0;false;false
rev_01006-2f162;twoDevs;2;0;0;0;0;false;false
rev_ba2b7-7ccbf;twoDevs;2;0;0;0;0;false;false
rev_36b69-d60c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2e5f3-988f5;twoDevs;2;0;0;0;0;false;false
rev_2595a-621bf;twoDevs;2;0;0;0;0;false;false
rev_595b9-c0df2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fe280-e1d6d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_30cb9-d7047;twoDevs;2;0;0;0;0;false;false
rev_ace08-4e3da;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ae4a8-d7ed3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_af61b-923eb;twoDevs;2;0;0;0;0;false;false
rev_9bed9-1ece7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e4c41-56c19;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94d9d-ba31a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c8917-12b35;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1ef7e-242be;twoDevs;2;0;0;0;0;false;false
rev_56738-6ed0f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4950e-22e45;twoDevs;2;0;0;0;0;false;false
