name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_abf1b-e2f74;twoDevs;2;0;0;0;0;false;false
rev_90e29-d9de4;moreThanTwoDevs;6;0;0;0;0;false;false
rev_48618-52bf6;twoDevs;2;0;0;0;0;false;false
rev_16d0f-a0994;twoDevs;2;0;0;0;0;false;false
rev_be7cb-d530b;twoDevs;2;0;0;0;0;false;false
rev_5c1dc-ec944;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a071c-a7990;moreThanTwoDevs;3;0;0;0;0;false;false
rev_91f62-46d69;twoDevs;2;0;0;0;0;false;false
rev_30ee8-18081;twoDevs;2;0;0;0;0;false;false
rev_21a38-4cc52;moreThanTwoDevs;5;2;1;1;0;true;false
rev_4da47-5e30b;moreThanTwoDevs;5;1;0;0;0;true;false
rev_0c279-0c908;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0d836-4cc52;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b11e2-a07f0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cc19a-83d9b;moreThanTwoDevs;4;2;1;1;0;true;false
rev_2e334-8f84b;oneDev;1;0;0;0;0;false;false
rev_57fae-63be6;moreThanTwoDevs;5;0;0;0;0;false;false
rev_725a3-e65f4;moreThanTwoDevs;4;3;0;0;0;true;false
rev_291c7-66273;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5f038-bea51;moreThanTwoDevs;4;0;0;0;0;false;false
rev_17057-6b767;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1ebc-f0d9d;moreThanTwoDevs;4;7;0;0;0;true;false
rev_69bca-6e306;moreThanTwoDevs;3;0;0;0;0;false;false
rev_80bbe-76644;moreThanTwoDevs;4;6;0;0;0;true;false
rev_0a327-b111c;twoDevs;2;0;0;0;0;false;false
rev_de9c4-c9aaf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_67f9f-59244;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f41c1-86927;moreThanTwoDevs;7;0;0;0;0;false;false
rev_78160-3473b;moreThanTwoDevs;5;2;1;1;0;true;false
rev_95262-7fa68;moreThanTwoDevs;5;10;6;6;5;true;false
rev_ac826-8814a;moreThanTwoDevs;4;11;1;10;1;true;false
rev_61afa-101c3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9f334-7e3ed;moreThanTwoDevs;8;0;0;0;0;false;false
rev_6e0f8-159b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c3f64-51f0a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_37c08-93c89;moreThanTwoDevs;5;0;0;0;0;false;false
rev_0707b-90406;moreThanTwoDevs;3;0;0;0;0;false;false
rev_de6fd-dcbfe;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d750f-6cf7f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_63a97-ae8fa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_78b55-b92f9;moreThanTwoDevs;3;1;0;1;0;true;false
rev_1e99c-7d1db;twoDevs;2;0;0;0;0;false;false
rev_7a211-70e81;twoDevs;2;0;0;0;0;false;false
rev_06738-892a4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2ceb9-82c96;moreThanTwoDevs;4;0;0;0;0;false;false
rev_23a95-e164c;moreThanTwoDevs;6;0;0;0;0;false;false
rev_5441b-be888;moreThanTwoDevs;3;0;0;0;0;false;false
rev_662e9-fa002;twoDevs;2;0;0;0;0;false;false
rev_662e9-fa002;twoDevs;2;0;0;0;0;false;false
rev_78c12-8364a;moreThanTwoDevs;5;0;0;0;0;false;false
rev_54c4b-1e68b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_11140-e2005;moreThanTwoDevs;7;0;0;0;0;false;false
rev_e2005-d25ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_655ca-a58ab;moreThanTwoDevs;5;0;0;0;0;false;true
rev_beb62-f2549;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ee5a2-6cb9c;moreThanTwoDevs;10;0;0;0;0;false;false
rev_146e1-fcdf6;oneDev;1;0;0;0;0;false;false
rev_3c573-4c8ce;oneDev;1;0;0;0;0;false;false
rev_2a8ce-e659c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6527c-8aef9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_37fbb-7609d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_19c5d-f1e64;moreThanTwoDevs;6;0;0;0;0;false;false
rev_870ff-f1384;twoDevs;2;0;0;0;0;false;false
rev_8620c-b672c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b7dd7-482cd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_919cc-c5b83;moreThanTwoDevs;3;20;3;13;2;true;false
rev_4c6b7-bdf4d;moreThanTwoDevs;5;1;0;0;0;true;false
rev_b1f5b-8cfd8;twoDevs;2;0;0;0;0;false;false
rev_7ce15-39058;moreThanTwoDevs;5;0;0;0;0;false;false
rev_a9cdd-a365d;moreThanTwoDevs;3;5;1;3;1;true;false
rev_86246-f98bc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7780f-80df1;twoDevs;2;0;0;0;0;false;false
rev_b61c6-88e68;moreThanTwoDevs;3;0;0;0;0;false;false
rev_30049-879c5;moreThanTwoDevs;5;0;0;0;0;false;false
rev_cf886-6fe40;twoDevs;2;0;0;0;0;false;false
rev_14951-a35e9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c4453-d56ed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_60765-356aa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4003a-c2186;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ba433-10dae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d94d-5e89c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3baab-a22b4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_01db6-9a680;moreThanTwoDevs;3;0;0;0;0;false;false
rev_08a81-5b4ae;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d75f5-d355e;moreThanTwoDevs;8;1;0;0;0;true;false
rev_985c6-fb681;twoDevs;2;0;0;0;0;false;false
rev_149b2-6741b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fa9ce-02356;moreThanTwoDevs;5;0;0;0;0;false;false
rev_02356-eff68;moreThanTwoDevs;3;0;0;0;0;false;false
rev_72296-04ed3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5b102-24a18;twoDevs;2;0;0;0;0;false;false
rev_acb71-738c3;moreThanTwoDevs;9;41;0;5;0;true;false
rev_a115e-8b754;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7569e-83cb9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5fdc1-dc4c8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d2f91-2befb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_cc025-0569a;twoDevs;2;0;0;0;0;false;false
rev_bf8ae-d3e03;moreThanTwoDevs;3;0;0;0;0;false;false
rev_678a4-47115;moreThanTwoDevs;6;1;0;0;0;true;false
rev_3df68-80841;moreThanTwoDevs;4;0;0;0;0;false;false
rev_586f3-355c9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bd399-a61bb;moreThanTwoDevs;12;0;0;0;0;false;false
rev_9748a-0e677;moreThanTwoDevs;10;2;0;1;0;true;false
rev_e088e-d6a89;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7c4c1-2eeed;moreThanTwoDevs;6;5;1;3;1;true;false
rev_d6358-1f8a4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bc5bb-55155;moreThanTwoDevs;7;7;4;0;0;true;false
rev_7daad-f5fe4;moreThanTwoDevs;5;3;0;3;0;true;false
rev_171b8-69a45;moreThanTwoDevs;5;0;0;0;0;false;false
rev_65318-7b67b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f1d17-7b67b;twoDevs;2;1;0;0;0;true;false
rev_78b51-514be;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fb832-abc3c;twoDevs;2;0;0;0;0;false;false
rev_05087-40175;moreThanTwoDevs;8;4;0;0;0;true;false
rev_9ac90-5c094;moreThanTwoDevs;4;0;0;0;0;false;false
rev_80b28-35540;moreThanTwoDevs;6;9;1;1;0;true;false
rev_ac743-4bd5d;moreThanTwoDevs;3;4;0;0;0;true;false
rev_9cf9b-cc768;moreThanTwoDevs;3;0;0;0;0;false;false
rev_46577-3c55f;moreThanTwoDevs;5;6;0;1;0;true;false
rev_114c4-39f0e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ed9c0-31563;moreThanTwoDevs;3;0;0;0;0;false;false
