name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_78c87-de997;twoDevs;2;0;0;0;0;false;false
rev_03fc6-78b4d;twoDevs;2;0;0;0;0;false;false
rev_3ca68-2927b;twoDevs;2;18;3;0;0;true;true
rev_08bdf-f526f;twoDevs;2;0;0;0;0;false;false
rev_f526f-4cbc7;twoDevs;2;0;0;0;0;false;false
rev_0cef7-2fa6a;oneDev;1;0;0;0;0;false;true
rev_e2b3a-e40cc;twoDevs;2;0;0;0;0;false;false
rev_00a90-fa899;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b3303-451b0;twoDevs;2;0;0;0;0;false;false
rev_26e60-edd69;moreThanTwoDevs;5;3;3;1;1;true;false
rev_82127-6fdc6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e6cd3-ac483;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e18c2-02110;moreThanTwoDevs;5;1;0;1;0;true;false
rev_d7abc-e18c2;moreThanTwoDevs;8;0;0;0;0;false;false
rev_e18c2-4fd73;moreThanTwoDevs;3;0;0;0;0;false;false
rev_37187-3a123;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e7527-6bb3c;twoDevs;2;0;0;0;0;false;false
rev_75f10-0fc3c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0fc3c-5057c;twoDevs;2;0;0;0;0;false;false
rev_afb5f-310d1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_791ec-fe259;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9bd78-ab219;twoDevs;2;0;0;0;0;false;false
rev_35824-9c5ea;twoDevs;2;0;0;0;0;false;false
rev_8a221-bd8ff;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7137f-13b44;twoDevs;2;0;0;0;0;false;false
rev_2017f-8719e;oneDev;1;0;0;0;0;false;false
rev_67834-ef7d7;oneDev;1;0;0;0;0;false;false
rev_7ab97-d0438;twoDevs;2;0;0;0;0;false;false
rev_cf01e-d6e2b;twoDevs;2;0;0;0;0;false;false
rev_e5fc3-50857;oneDev;1;0;0;0;0;false;false
rev_3fe5b-49790;twoDevs;2;0;0;0;0;false;false
rev_7d314-8125b;twoDevs;2;0;0;0;0;false;false
rev_2fd68-0675b;twoDevs;2;0;0;0;0;false;false
rev_ce006-5768f;twoDevs;2;0;0;0;0;false;false
rev_bef2e-71b84;twoDevs;2;0;0;0;0;false;false
rev_68224-f14f1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_da38d-0c18a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_38450-38821;twoDevs;2;0;0;0;0;false;false
rev_f2bae-1d7eb;twoDevs;2;0;0;0;0;false;false
rev_1ae2e-6da72;twoDevs;2;0;0;0;0;false;false
rev_59627-ff925;moreThanTwoDevs;6;0;0;0;0;false;false
rev_52c85-de58c;twoDevs;2;0;0;0;0;false;false
rev_f93ac-d6c4b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ac166-4e394;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f410d-8bef0;twoDevs;2;0;0;0;0;false;false
rev_53b9b-467d9;twoDevs;2;0;0;0;0;false;false
rev_9aa96-fc6ce;twoDevs;2;0;0;0;0;false;false
rev_4504b-35fc9;twoDevs;2;0;0;0;0;false;false
rev_f16d0-ed1da;twoDevs;2;0;0;0;0;false;false
rev_d615d-f5fb0;moreThanTwoDevs;9;1;0;0;0;true;false
rev_f5fb0-9fbfa;twoDevs;2;0;0;0;0;false;false
rev_035ad-e156a;oneDev;1;0;0;0;0;false;false
rev_cac38-8dbf0;twoDevs;2;0;0;0;0;false;false
rev_49e97-71bfb;twoDevs;2;0;0;0;0;false;false
rev_18bc2-2a96c;twoDevs;2;0;0;0;0;false;false
rev_48cce-4cb85;moreThanTwoDevs;4;0;0;0;0;false;false
rev_0bbdf-38c28;twoDevs;2;0;0;0;0;false;false
rev_3218c-a2a48;twoDevs;2;0;0;0;0;false;false
rev_ec52f-009dd;twoDevs;2;0;0;0;0;false;false
rev_01fa7-faf37;moreThanTwoDevs;4;0;0;0;0;false;false
rev_06389-58935;moreThanTwoDevs;4;0;0;0;0;false;false
rev_25871-1c849;twoDevs;2;0;0;0;0;false;false
rev_e7874-217a3;twoDevs;2;0;0;0;0;false;false
rev_d2e9f-374e2;twoDevs;2;0;0;0;0;false;false
rev_f827c-253e4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_319b1-f691d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5fd8c-f691d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a123f-30316;twoDevs;2;0;0;0;0;false;false
rev_ed97d-23f47;twoDevs;2;0;0;0;0;false;false
rev_392e0-31206;twoDevs;2;0;0;0;0;false;false
rev_26d54-93e8a;twoDevs;2;0;0;0;0;false;false
rev_3b52d-2a597;twoDevs;2;0;0;0;0;false;false
rev_e0d5f-0639d;twoDevs;2;0;0;0;0;false;false
rev_65b44-95ee2;twoDevs;2;0;0;0;0;false;false
rev_ca8c3-838a1;twoDevs;2;0;0;0;0;false;false
rev_f0b45-18a98;moreThanTwoDevs;7;0;0;0;0;false;false
rev_3c656-e52e2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_52273-0ca9b;twoDevs;2;0;0;0;0;false;false
rev_9317f-2f3d2;moreThanTwoDevs;5;0;0;0;0;false;false
rev_efc0f-34937;moreThanTwoDevs;4;0;0;0;0;false;false
