name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_3d9bc-7d63b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fb090-00670;moreThanTwoDevs;3;0;0;0;0;false;false
rev_76616-6cdc4;twoDevs;2;0;0;0;0;false;false
rev_5da0e-b7a78;moreThanTwoDevs;3;0;0;0;0;false;false
rev_33605-9ca1c;twoDevs;2;0;0;0;0;false;false
rev_ce132-09459;oneDev;1;0;0;0;0;false;false
rev_86a3d-82236;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4500a-ae003;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2e494-8ded2;oneDev;1;0;0;0;0;false;false
rev_36294-89465;oneDev;1;0;0;0;0;false;false
rev_9bd8a-55e9d;twoDevs;2;0;0;0;0;false;false
rev_9d7d9-91c84;oneDev;1;0;0;0;0;false;false
rev_6a459-07ed9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_07ed9-67802;twoDevs;2;0;0;0;0;false;false
rev_56c44-0c22f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d94c5-ae6cf;twoDevs;2;0;0;0;0;false;false
rev_c32fd-5a93b;oneDev;1;0;0;0;0;false;false
rev_0c0c3-5ac1c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bc27b-b8f26;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c82ef-5e5ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e1c7b-07fe4;moreThanTwoDevs;4;0;0;0;0;false;false
rev_64500-7aea0;twoDevs;2;0;0;0;0;false;false
rev_85ed6-58bd8;twoDevs;2;0;0;0;0;false;false
rev_b5d64-244e0;oneDev;1;0;0;0;0;false;false
rev_03216-ed6ae;oneDev;1;0;0;0;0;false;false
rev_6c6d5-ff35d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_dcec9-5ac99;twoDevs;2;0;0;0;0;false;false
rev_48aac-8999b;oneDev;1;0;0;0;0;false;false
rev_f1b29-1c2ad;twoDevs;2;0;0;0;0;false;false
rev_257e9-3cca8;moreThanTwoDevs;3;1;0;0;0;true;true
rev_0d7fc-948fc;twoDevs;2;0;0;0;0;false;false
rev_24a3a-638b1;moreThanTwoDevs;4;3;3;2;2;true;false
rev_0c051-03fd2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_993e6-cc066;twoDevs;2;3;0;0;0;true;false
rev_b8f57-ce7b7;twoDevs;2;0;0;0;0;false;false
rev_a2b9a-1881c;moreThanTwoDevs;4;24;1;1;0;true;false
rev_c1b3e-3bc26;twoDevs;2;0;0;0;0;false;false
rev_b91ad-6c9c5;twoDevs;2;0;0;0;0;false;false
rev_38c81-3907d;oneDev;1;0;0;0;0;false;false
rev_7bed7-b8daf;moreThanTwoDevs;4;0;0;0;0;false;false
rev_919ca-b110e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e1d77-c2e69;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b0dc-955ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_15fc4-98434;moreThanTwoDevs;4;2;0;0;0;true;false
rev_fa957-98434;moreThanTwoDevs;3;2;0;0;0;true;true
rev_98434-60dcf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ebfb7-ab9a2;twoDevs;2;0;0;0;0;false;false
rev_2b5cb-ce87c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_912b2-7c8b1;twoDevs;2;0;0;0;0;false;false
rev_e5e8f-e854a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c87ea-328d4;moreThanTwoDevs;3;1;0;0;0;true;false
rev_1813e-8164e;twoDevs;2;0;0;0;0;false;false
rev_0f59f-3c517;moreThanTwoDevs;3;0;0;0;0;false;false
rev_06c09-9ef8e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cd32c-434ab;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2f12f-8e1d0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_68211-6c15e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d48f-4f384;twoDevs;2;0;0;0;0;false;false
rev_04e38-541d6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4c86-3ced6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2540d-4a155;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55073-c00fb;moreThanTwoDevs;4;0;0;0;0;false;false
rev_aa98a-ac126;moreThanTwoDevs;3;0;0;0;0;false;false
rev_88e98-c03fc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_59817-1cb08;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a5f19-87aa7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7b49a-43ec6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ce209-051fb;twoDevs;2;0;0;0;0;false;false
rev_541fe-751b5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_76e65-2356e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_98063-ac1b8;twoDevs;2;0;0;0;0;false;false
rev_f86a4-957b9;twoDevs;2;0;0;0;0;false;false
rev_0d765-8f04d;moreThanTwoDevs;3;0;0;0;0;false;true
rev_8f04d-cb026;twoDevs;2;0;0;0;0;false;false
rev_a93ca-96955;twoDevs;2;0;0;0;0;false;false
rev_e9496-a8f9d;twoDevs;2;0;0;0;0;false;false
rev_4c1b3-9bbac;moreThanTwoDevs;3;0;0;0;0;false;false
rev_14dc7-782ca;moreThanTwoDevs;5;0;0;0;0;false;false
rev_10c3a-b8ead;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a5481-1785b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bc7cc-0fdaa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c974a-c1f28;oneDev;1;0;0;0;0;false;false
rev_c3047-423a5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_423a5-ca9b8;twoDevs;2;0;0;0;0;false;false
rev_cdcaf-dfc6d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_061ef-c376c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fe901-f8604;twoDevs;2;0;0;0;0;false;false
rev_6a20b-2d984;twoDevs;2;2;0;1;0;true;false
rev_290d3-4a1f8;oneDev;1;4;0;0;0;true;false
rev_0a300-63107;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4f488-d80ff;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f6e30-0fd25;moreThanTwoDevs;4;0;0;0;0;false;false
rev_04af8-65e2b;twoDevs;2;0;0;0;0;false;false
rev_65753-92bf6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_816f6-f7aa8;twoDevs;2;0;0;0;0;false;false
rev_5e15e-340e8;twoDevs;2;0;0;0;0;false;false
rev_adcf6-e68ee;twoDevs;2;0;0;0;0;false;false
rev_e5387-e4d25;twoDevs;2;0;0;0;0;false;false
rev_fe936-98a8a;twoDevs;2;0;0;0;0;false;false
rev_4b448-4aa65;moreThanTwoDevs;7;15;5;8;3;true;true
rev_bfa2e-936fe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_936fe-ea8c2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ceb75-93b19;twoDevs;2;0;0;0;0;false;false
rev_262f7-74287;twoDevs;2;0;0;0;0;false;false
rev_a1c53-44149;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21f3d-417a6;twoDevs;2;0;0;0;0;false;false
rev_4a98f-cd396;twoDevs;2;0;0;0;0;false;false
rev_e1884-97592;oneDev;1;0;0;0;0;false;false
rev_f067f-676dc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a44cf-16f10;twoDevs;2;0;0;0;0;false;false
rev_01dde-1d1a7;oneDev;1;0;0;0;0;false;false
rev_c16c0-827fd;twoDevs;2;0;0;0;0;false;false
rev_2a94b-8e02e;twoDevs;2;0;0;0;0;false;false
rev_73eed-c3118;oneDev;1;0;0;0;0;false;false
rev_6e0f2-2f992;twoDevs;2;0;0;0;0;false;false
rev_09684-83f0b;moreThanTwoDevs;3;2;2;2;2;true;true
rev_1d346-199ae;oneDev;1;0;0;0;0;false;false
rev_e37d8-4c738;twoDevs;2;0;0;0;0;false;false
rev_5008f-0df73;twoDevs;2;0;0;0;0;false;false
rev_1c305-7c2b2;moreThanTwoDevs;3;2;2;0;0;true;false
rev_c0690-aba83;twoDevs;2;0;0;0;0;false;false
rev_a8e0d-8040e;twoDevs;2;7;1;1;1;true;true
rev_f3e87-ded8b;twoDevs;2;0;0;0;0;false;false
rev_04fe5-9d774;moreThanTwoDevs;3;0;0;0;0;false;false
