name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_94605-76bd8;twoDevs;2;2;0;0;0;true;false
rev_f6166-bf25c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_adffb-6936d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fba4b-59435;twoDevs;2;6;6;0;0;true;false
rev_9a551-c9210;twoDevs;2;0;0;0;0;false;false
rev_a5296-7d88e;twoDevs;2;0;0;0;0;false;false
rev_d1315-7b266;twoDevs;2;0;0;0;0;false;false
rev_c6a8f-bf4b8;twoDevs;2;0;0;0;0;false;false
rev_4cbc5-9236a;twoDevs;2;2;1;1;0;true;false
rev_800bd-81dc8;twoDevs;2;0;0;0;0;false;false
rev_2f2fd-8d29f;twoDevs;2;0;0;0;0;false;false
rev_6ec02-32b1c;twoDevs;2;0;0;0;0;false;false
rev_cc01b-a12ae;twoDevs;2;1;0;1;0;true;false
rev_ccc0a-3069e;twoDevs;2;0;0;0;0;false;false
rev_643bc-b33f4;twoDevs;2;0;0;0;0;false;false
rev_12536-3c850;twoDevs;2;0;0;0;0;false;false
rev_6e56d-9e23f;twoDevs;2;0;0;0;0;false;true
rev_e4cbe-a4802;twoDevs;2;0;0;0;0;false;false
rev_84959-3e829;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0dfce-8fa53;twoDevs;2;0;0;0;0;false;false
rev_22e75-d1f7b;twoDevs;2;0;0;0;0;false;false
rev_16987-034ac;twoDevs;2;0;0;0;0;false;false
rev_0b086-2109b;twoDevs;2;0;0;0;0;false;false
rev_2d24c-7a04b;twoDevs;2;0;0;0;0;false;false
rev_7df81-e591f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_11b1d-3d1a2;twoDevs;2;1;0;0;0;true;false
rev_e13ac-92168;twoDevs;2;0;0;0;0;false;false
rev_2926c-d12db;moreThanTwoDevs;4;1;1;0;0;true;false
rev_d2ba5-73ab1;twoDevs;2;0;0;0;0;false;true
rev_4dffd-f64a8;moreThanTwoDevs;3;0;0;0;0;false;true
rev_0787f-7359f;twoDevs;2;1;0;0;0;true;true
rev_b18bb-10ff4;twoDevs;2;0;0;0;0;false;false
rev_63b45-bcc99;moreThanTwoDevs;3;0;0;0;0;false;false
rev_60d81-cf120;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64837-e8163;twoDevs;2;0;0;0;0;false;false
rev_f8ade-6dddd;twoDevs;2;0;0;0;0;false;false
rev_c58c7-88ed4;twoDevs;2;0;0;0;0;false;false
rev_25cb7-f2595;twoDevs;2;0;0;0;0;false;false
rev_36a57-02d72;twoDevs;2;0;0;0;0;false;false
rev_c7c86-98134;twoDevs;2;0;0;0;0;false;false
rev_18a15-c378f;twoDevs;2;0;0;0;0;false;false
rev_07bcc-1511a;twoDevs;2;0;0;0;0;false;false
rev_c4c85-9a09f;twoDevs;2;0;0;0;0;false;false
rev_6c5dc-160b6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ddbb5-af2bd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5c980-9b78b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_67114-de294;twoDevs;2;0;0;0;0;false;false
rev_c4d25-df625;moreThanTwoDevs;5;0;0;0;0;false;false
rev_acfd7-44101;moreThanTwoDevs;3;0;0;0;0;false;false
rev_30b10-ac428;moreThanTwoDevs;4;0;0;0;0;false;false
rev_585db-5f802;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9c064-b27f5;twoDevs;2;0;0;0;0;false;false
rev_0aa28-31965;twoDevs;2;0;0;0;0;false;false
rev_7ef53-afec6;twoDevs;2;0;0;0;0;false;false
rev_8cac9-2e322;twoDevs;2;0;0;0;0;false;false
rev_9b96f-9f025;moreThanTwoDevs;3;0;0;0;0;false;true
rev_a45a9-f4b15;moreThanTwoDevs;3;0;0;0;0;false;false
rev_109d3-329e7;twoDevs;2;0;0;0;0;false;false
rev_c7ddc-aeff5;twoDevs;2;0;0;0;0;false;false
rev_bdc0e-f53a0;twoDevs;2;0;0;0;0;false;false
rev_c760f-ad2c9;twoDevs;2;2;0;0;0;true;false
rev_f1861-76d7a;twoDevs;2;0;0;0;0;false;false
rev_dfaee-49ab8;moreThanTwoDevs;3;0;0;0;0;false;true
rev_0f16a-5205c;twoDevs;2;0;0;0;0;false;true
rev_9f4a4-b17ad;twoDevs;2;0;0;0;0;false;false
rev_b17ad-9f4a4;twoDevs;2;0;0;0;0;false;false
rev_50e06-51d9e;twoDevs;2;0;0;0;0;false;false
rev_6b1c6-12b9b;twoDevs;2;0;0;0;0;false;false
rev_49a37-d728e;twoDevs;2;0;0;0;0;false;false
rev_e8fa7-ad677;moreThanTwoDevs;3;0;0;0;0;false;true
rev_79c0f-19bb8;twoDevs;2;0;0;0;0;false;false
rev_221d1-4d3f0;moreThanTwoDevs;3;1;0;0;0;true;false
rev_74b15-fad0f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_974ee-0fced;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ca247-cc604;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a31fb-d4c41;oneDev;1;0;0;0;0;false;false
rev_f1d5e-d4c41;twoDevs;2;0;0;0;0;false;false
rev_e6b82-0a4fd;moreThanTwoDevs;3;1;0;0;0;true;true
rev_40c9a-c8471;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4f215-f7a7a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3b38e-cb460;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e195c-8fd92;moreThanTwoDevs;3;0;0;0;0;false;false
rev_17747-440fd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_15346-11e95;twoDevs;2;0;0;0;0;false;false
rev_aac00-fbe70;twoDevs;2;0;0;0;0;false;false
rev_3e835-d9773;moreThanTwoDevs;3;0;0;0;0;false;false
rev_884d6-cecc2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a98a4-cb35f;twoDevs;2;4;2;2;1;true;false
rev_4c6d8-763d4;twoDevs;2;2;1;2;1;true;false
rev_e4a9e-2c70a;twoDevs;2;0;0;0;0;false;false
rev_a338f-58f20;twoDevs;2;1;0;0;0;true;false
rev_8cd50-38bc0;oneDev;1;0;0;0;0;false;false
rev_47796-61b8a;twoDevs;2;0;0;0;0;false;false
rev_0d49a-a3227;moreThanTwoDevs;3;0;0;0;0;false;false
rev_811f7-236b7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_24a31-0cbb9;oneDev;1;0;0;0;0;false;false
rev_386ae-bfaf6;twoDevs;2;2;2;0;0;true;false
rev_33108-e2b98;moreThanTwoDevs;7;0;0;0;0;false;true
rev_c0c1c-2d578;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8db4b-c743d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_35192-84c12;twoDevs;2;0;0;0;0;false;false
rev_a516b-bedd3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6892d-bedd3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f680e-00579;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1f2b-990bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_58e4b-0e3df;twoDevs;2;0;0;0;0;false;false
rev_307e4-12d08;twoDevs;2;0;0;0;0;false;false
rev_e59e4-c757c;moreThanTwoDevs;4;0;0;0;0;false;true
rev_8a714-e59e4;moreThanTwoDevs;4;0;0;0;0;false;true
rev_7cc31-e39db;twoDevs;2;0;0;0;0;false;false
rev_e3c13-c3269;twoDevs;2;0;0;0;0;false;false
rev_3bba4-20bac;twoDevs;2;0;0;0;0;false;false
rev_40ffc-b2b83;moreThanTwoDevs;3;0;0;0;0;false;true
rev_52d26-c82a9;twoDevs;2;0;0;0;0;false;false
rev_7eb8a-2571a;twoDevs;2;0;0;0;0;false;false
rev_46797-c320e;twoDevs;2;0;0;0;0;false;true
rev_2571a-cf686;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2571a-1ede8;twoDevs;2;0;0;0;0;false;false
rev_03ea9-6c6aa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6c6aa-ba7f2;twoDevs;2;0;0;0;0;false;false
