name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_e0b33-fb988;oneDev;1;0;0;0;0;false;false
rev_ad96f-42dba;oneDev;1;0;0;0;0;false;false
rev_fc89b-3679d;oneDev;1;0;0;0;0;false;false
rev_11da2-44e79;oneDev;1;0;0;0;0;false;false
rev_e32d8-8cd9b;oneDev;1;0;0;0;0;false;false
rev_01804-9259e;oneDev;1;0;0;0;0;false;false
rev_00a2d-ab2cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f093f-26d74;moreThanTwoDevs;3;0;0;0;0;false;false
rev_352bd-949c7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9e61b-84b9b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_289f3-325ec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d90e-0ffc0;moreThanTwoDevs;7;0;0;0;0;false;false
rev_87fda-44654;twoDevs;2;0;0;0;0;false;false
rev_82672-bcab3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8143e-501ba;moreThanTwoDevs;3;0;0;0;0;false;false
rev_66efe-a6008;moreThanTwoDevs;3;0;0;0;0;false;false
rev_62d56-b7521;moreThanTwoDevs;3;0;0;0;0;false;false
rev_08396-a1cee;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4f318-975b9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9fcb0-8ed51;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8fbbb-a258d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bfc1f-cce96;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4e03e-e1dbe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bb6d3-1fc51;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eebc1-f78f2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f8c1c-5cadd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bccb0-c9f5e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eddf4-25f99;twoDevs;2;0;0;0;0;false;false
rev_b0241-dddaf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_23eec-04571;twoDevs;2;0;0;0;0;false;false
rev_06a3d-82b27;moreThanTwoDevs;3;0;0;0;0;false;false
rev_44e7c-33f82;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5bbf1-e278a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_28ed5-4575f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a673f-4024f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c4724-f3158;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b6748-a3300;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2e0be-039ea;twoDevs;2;0;0;0;0;false;false
rev_9f613-a5fb2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e0c5d-5fe92;moreThanTwoDevs;3;0;0;0;0;false;false
rev_35b72-83871;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7274c-4397b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_14b98-bc3bc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_69243-3b5a7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_db6ea-939ec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_bcc4d-797d6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fa4c9-42d88;moreThanTwoDevs;3;0;0;0;0;false;false
rev_562df-3ae2e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fdddc-66c6f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9ada4-f1534;moreThanTwoDevs;3;0;0;0;0;false;false
rev_81608-6c97c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f8c03-27d76;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d7e44-969d2;twoDevs;2;0;0;0;0;false;false
rev_02c23-79dd9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_312b0-3ad08;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5b188-23bd7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6423a-4d4cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2085f-174d2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_208a0-f4872;twoDevs;2;0;0;0;0;false;false
rev_5a856-359e9;twoDevs;2;0;0;0;0;false;false
rev_59a7f-1fa4b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e1e17-9b6bd;twoDevs;2;0;0;0;0;false;false
rev_83529-ee0f0;twoDevs;2;0;0;0;0;false;false
rev_4b39b-eea6c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e997c-76318;twoDevs;2;0;0;0;0;false;false
rev_0001d-219d6;twoDevs;2;0;0;0;0;false;false
rev_65d75-52f8e;twoDevs;2;0;0;0;0;false;false
rev_a5eb9-dfc06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ab8e0-f5ec6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ccd4c-56ca3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6ece9-b080c;twoDevs;2;0;0;0;0;false;false
rev_08ffc-db0cd;twoDevs;2;0;0;0;0;false;false
rev_7b4e9-baa9d;twoDevs;2;0;0;0;0;false;false
rev_88f57-87031;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2efc1-06074;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ac250-fadf9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cd432-3f1c5;twoDevs;2;0;0;0;0;false;false
