name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_ed222-b9906;twoDevs;2;0;0;0;0;false;false
rev_0220e-60b94;oneDev;1;0;0;0;0;false;false
rev_54a59-6757e;twoDevs;2;0;0;0;0;false;false
rev_43882-00787;moreThanTwoDevs;3;0;0;0;0;false;true
rev_3f3f9-fe92f;twoDevs;2;0;0;0;0;false;false
rev_e880b-ab989;oneDev;1;0;0;0;0;false;false
rev_e4bb2-8d072;twoDevs;2;1;1;0;0;true;false
rev_17bf8-42ba0;moreThanTwoDevs;3;0;0;0;0;false;true
rev_c9bc7-be981;oneDev;1;0;0;0;0;false;true
rev_a8e8a-4dba7;twoDevs;2;0;0;0;0;false;false
rev_ff5e9-3e08a;moreThanTwoDevs;3;0;0;0;0;false;true
rev_ef3a3-96f02;twoDevs;2;0;0;0;0;false;false
rev_7d707-b5a29;moreThanTwoDevs;3;50;1;1;0;true;false
rev_9a05c-20364;moreThanTwoDevs;3;19;0;0;0;true;true
rev_9653e-013dc;moreThanTwoDevs;4;0;0;0;0;false;true
rev_4c8c7-163e3;moreThanTwoDevs;4;1;0;0;0;true;true
rev_d4fce-ce3aa;oneDev;1;0;0;0;0;false;false
rev_6c0e7-e7fb2;oneDev;1;0;0;0;0;false;false
rev_532fa-56fbe;twoDevs;2;19;2;0;0;true;true
rev_b6d1a-bee33;twoDevs;2;19;1;4;1;true;true
rev_42d25-a6878;oneDev;1;0;0;0;0;false;true
rev_29fac-8ea37;twoDevs;2;0;0;0;0;false;false
rev_f0033-708a2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_708a2-f2df2;oneDev;1;0;0;0;0;false;false
rev_1f910-cd77e;twoDevs;2;3;0;1;0;true;false
rev_87717-0e2eb;oneDev;1;0;0;0;0;false;false
rev_e06fb-4b0f0;twoDevs;2;1;0;0;0;true;true
rev_86b02-6492f;twoDevs;2;0;0;0;0;false;false
rev_ca2e0-c76e1;twoDevs;2;0;0;0;0;false;false
rev_2f8d0-a76a4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6d916-7076a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7bd42-0c617;moreThanTwoDevs;6;0;0;0;0;false;true
rev_4c35b-3d3fa;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a9f25-b761c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2e674-1a9ff;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9a9a6-cb9cf;twoDevs;2;0;0;0;0;false;false
rev_75a42-23f32;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9a2fe-fad03;moreThanTwoDevs;4;0;0;0;0;false;true
rev_9ca72-444ad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_192e2-d7778;twoDevs;2;0;0;0;0;false;false
rev_c41c5-ed98d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e5a37-b0dc7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5e6ce-39996;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7b90c-9d649;twoDevs;2;0;0;0;0;false;false
rev_4fbd7-ad147;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c767f-2ba14;moreThanTwoDevs;5;1;0;1;0;true;true
rev_21bf8-56987;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d6d72-9743a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8d07b-980a9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1c3a9-b78ce;moreThanTwoDevs;3;0;0;0;0;false;true
rev_3927f-b1751;moreThanTwoDevs;9;0;0;0;0;false;false
rev_c0c61-5583c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6de9f-e7f78;moreThanTwoDevs;5;0;0;0;0;false;false
rev_32af1-0acf6;oneDev;1;0;0;0;0;false;false
rev_50c40-7dbde;oneDev;1;1;0;1;0;true;false
rev_f6718-6ee8e;moreThanTwoDevs;24;6;0;0;0;true;true
rev_9417a-019e7;moreThanTwoDevs;24;10;0;0;0;true;true
rev_5c9b6-7b897;moreThanTwoDevs;24;0;0;0;0;false;true
rev_cefe7-f6591;twoDevs;2;0;0;0;0;false;false
rev_94dd0-076e7;twoDevs;2;0;0;0;0;false;false
rev_18120-9cfc5;oneDev;1;0;0;0;0;false;false
rev_400eb-646e4;moreThanTwoDevs;24;2;0;0;0;true;false
rev_400eb-9bc69;oneDev;1;0;0;0;0;false;false
rev_86d6e-4b2c1;oneDev;1;0;0;0;0;false;false
rev_73a97-f15e0;twoDevs;2;0;0;0;0;false;false
