name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_0d3fc-8d051;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eaadc-47995;twoDevs;2;0;0;0;0;false;false
rev_ca648-1b62d;twoDevs;2;0;0;0;0;false;false
rev_20a4d-fa004;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21da5-d6d1c;twoDevs;2;0;0;0;0;false;false
rev_d2360-0c40a;twoDevs;2;0;0;0;0;false;false
rev_ea087-fe293;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d7fd1-822ef;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d6318-2fab5;moreThanTwoDevs;5;0;0;0;0;false;false
rev_49053-acb08;moreThanTwoDevs;4;0;0;0;0;false;false
rev_84f23-2400d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_daeb2-198b4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fbb0d-775cc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_18141-af7d6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5320a-f85cc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4f5d-1b97a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f33e2-83f39;twoDevs;2;0;0;0;0;false;false
rev_0f882-fe999;moreThanTwoDevs;13;0;0;0;0;false;false
rev_a66c9-b0336;twoDevs;2;0;0;0;0;false;false
rev_9c19f-f74bd;twoDevs;2;0;0;0;0;false;false
rev_cc4bd-2641d;twoDevs;2;0;0;0;0;false;false
rev_9ae0e-684cc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_542bd-90060;twoDevs;2;0;0;0;0;false;false
rev_07002-5410f;moreThanTwoDevs;14;7;5;3;3;true;false
rev_4610f-08a73;moreThanTwoDevs;4;0;0;0;0;false;false
rev_9f267-1905b;twoDevs;2;0;0;0;0;false;false
rev_b75e0-7e59a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_30a4c-c6675;moreThanTwoDevs;6;1;0;0;0;true;false
rev_b17cc-cb3e6;twoDevs;2;0;0;0;0;false;false
rev_e7c2a-29fda;twoDevs;2;0;0;0;0;false;false
