name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_18618-98303;twoDevs;2;0;0;0;0;false;false
rev_71857-12ab0;twoDevs;2;0;0;0;0;false;false
rev_32ac8-56185;twoDevs;2;0;0;0;0;false;false
rev_15f35-a8e69;oneDev;1;0;0;0;0;false;false
rev_8d5ba-3958c;twoDevs;2;0;0;0;0;false;false
rev_665ac-fab5e;twoDevs;2;0;0;0;0;false;false
rev_034b2-21fbd;oneDev;1;0;0;0;0;false;false
rev_f24c0-f2d31;oneDev;1;0;0;0;0;false;false
rev_92a7b-cd413;oneDev;1;0;0;0;0;false;false
rev_6c668-13316;twoDevs;2;0;0;0;0;false;false
rev_9d636-93af9;twoDevs;2;0;0;0;0;false;false
rev_00020-bb641;twoDevs;2;0;0;0;0;false;false
rev_3b49e-27c6b;twoDevs;2;0;0;0;0;false;false
rev_c845c-1bade;twoDevs;2;0;0;0;0;false;false
rev_3b81a-570fb;twoDevs;2;0;0;0;0;false;false
rev_843ee-c02bf;twoDevs;2;0;0;0;0;false;false
rev_bd5ec-f165a;twoDevs;2;0;0;0;0;false;false
rev_d10ee-feaa8;twoDevs;2;0;0;0;0;false;false
rev_7d6dd-c6757;twoDevs;2;0;0;0;0;false;false
rev_764da-724e9;twoDevs;2;0;0;0;0;false;false
rev_9625f-3f140;twoDevs;2;0;0;0;0;false;false
rev_51faf-45d3b;twoDevs;2;0;0;0;0;false;false
rev_d30b5-0ae6a;twoDevs;2;0;0;0;0;false;false
rev_309ba-3c414;twoDevs;2;0;0;0;0;false;false
rev_e9f58-2251c;twoDevs;2;0;0;0;0;false;false
rev_67024-5fc72;twoDevs;2;0;0;0;0;false;false
rev_b01e6-ac4ea;twoDevs;2;0;0;0;0;false;false
rev_240c9-51804;twoDevs;2;0;0;0;0;false;false
rev_59c28-792d8;twoDevs;2;0;0;0;0;false;false
rev_8a2d5-d4d0c;twoDevs;2;0;0;0;0;false;false
rev_bc56d-d0afd;twoDevs;2;0;0;0;0;false;false
rev_d9f98-39bdb;twoDevs;2;0;0;0;0;false;false
rev_41456-c02d2;twoDevs;2;0;0;0;0;false;false
rev_5a376-52563;twoDevs;2;0;0;0;0;false;false
rev_9b657-fafc3;twoDevs;2;0;0;0;0;false;false
rev_ef7c5-9e21b;twoDevs;2;0;0;0;0;false;false
rev_eb7ea-5a011;twoDevs;2;0;0;0;0;false;false
rev_11cb8-f8f71;twoDevs;2;0;0;0;0;false;false
rev_44891-3e6e0;twoDevs;2;0;0;0;0;false;false
rev_1d280-87a62;twoDevs;2;0;0;0;0;false;false
rev_55c3b-a8ff0;twoDevs;2;0;0;0;0;false;false
rev_cb4d7-f19d9;twoDevs;2;0;0;0;0;false;false
rev_aecde-f89b3;moreThanTwoDevs;6;2;0;1;0;true;false
rev_f89b3-07c07;twoDevs;2;0;0;0;0;false;false
rev_7d756-8dc40;twoDevs;2;0;0;0;0;false;false
rev_c54d0-4df4c;moreThanTwoDevs;6;0;0;0;0;false;false
rev_1d7dd-4df4c;moreThanTwoDevs;6;0;0;0;0;false;false
rev_8e7cf-827ba;twoDevs;2;0;0;0;0;false;false
rev_de03e-bd45e;twoDevs;2;0;0;0;0;false;false
rev_d1fa1-246b8;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8717e-e663e;twoDevs;2;0;0;0;0;false;false
rev_579d6-15b9c;twoDevs;2;0;0;0;0;false;false
rev_ee7d9-ccf71;twoDevs;2;0;0;0;0;false;false
rev_a004c-577e8;twoDevs;2;0;0;0;0;false;false
rev_858e1-8fb5d;twoDevs;2;0;0;0;0;false;false
rev_78163-dfff1;twoDevs;2;0;0;0;0;false;false
rev_bdbc9-33979;twoDevs;2;0;0;0;0;false;false
rev_d9ed9-4c7fe;twoDevs;2;0;0;0;0;false;false
rev_1affd-1f9f1;twoDevs;2;0;0;0;0;false;false
rev_54224-933b5;twoDevs;2;0;0;0;0;false;false
rev_43480-a2066;twoDevs;2;0;0;0;0;false;false
rev_1afdd-6ab86;twoDevs;2;0;0;0;0;false;false
rev_62428-6ade6;twoDevs;2;0;0;0;0;false;false
rev_f762a-545b9;twoDevs;2;0;0;0;0;false;false
rev_ae788-deb22;twoDevs;2;0;0;0;0;false;false
rev_6e878-67467;twoDevs;2;0;0;0;0;false;false
rev_f3df9-f598f;twoDevs;2;0;0;0;0;false;false
rev_c4e99-fe09c;twoDevs;2;0;0;0;0;false;false
