name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_d0fcf-01fdf;twoDevs;2;0;0;0;0;false;false
rev_35768-c1837;twoDevs;2;0;0;0;0;false;false
rev_6c38e-eeb72;twoDevs;2;0;0;0;0;false;false
rev_86a2e-2e9c4;twoDevs;2;0;0;0;0;false;false
rev_62760-c61ed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8d723-eecd9;twoDevs;2;0;0;0;0;false;false
rev_2f67e-b3ecb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f3114-2505f;twoDevs;2;0;0;0;0;false;false
rev_80016-f8344;twoDevs;2;0;0;0;0;false;false
rev_98a9d-258cc;twoDevs;2;0;0;0;0;false;false
rev_e7afa-5efa2;twoDevs;2;0;0;0;0;false;false
rev_5df86-3a491;twoDevs;2;0;0;0;0;false;false
rev_1bb14-0381b;oneDev;1;0;0;0;0;false;false
rev_747b2-ef5c7;twoDevs;2;0;0;0;0;false;false
rev_c5322-d8d26;twoDevs;2;0;0;0;0;false;false
rev_21881-2d6fc;twoDevs;2;0;0;0;0;false;false
rev_a6dc9-b5b6d;twoDevs;2;0;0;0;0;false;false
rev_30bc2-4a480;twoDevs;2;0;0;0;0;false;false
rev_608f3-5f968;twoDevs;2;0;0;0;0;false;false
rev_8e904-01d96;twoDevs;2;0;0;0;0;false;false
rev_910fe-799fe;oneDev;1;0;0;0;0;false;false
rev_e4d5f-e14f4;twoDevs;2;0;0;0;0;false;false
rev_c8155-0fc36;twoDevs;2;0;0;0;0;false;false
rev_31c1b-49085;twoDevs;2;0;0;0;0;false;false
rev_02d20-03541;twoDevs;2;0;0;0;0;false;false
rev_a59a1-2b4b5;twoDevs;2;0;0;0;0;false;false
rev_7aa3c-34dba;twoDevs;2;0;0;0;0;false;false
rev_23a27-4ab4f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_20422-df15b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_61d68-52c08;twoDevs;2;0;0;0;0;false;false
rev_bf109-51830;twoDevs;2;0;0;0;0;false;false
rev_689d1-9e421;moreThanTwoDevs;3;0;0;0;0;false;false
rev_90ee6-8c49e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d1319-6898c;oneDev;1;0;0;0;0;false;false
rev_3e7ae-92e30;twoDevs;2;0;0;0;0;false;false
rev_7e52b-8022f;twoDevs;2;0;0;0;0;false;false
rev_04200-b2c9a;twoDevs;2;0;0;0;0;false;false
rev_0a2b2-2a85e;oneDev;1;0;0;0;0;false;false
rev_d0170-2a85e;twoDevs;2;0;0;0;0;false;false
rev_b5a86-d555e;twoDevs;2;0;0;0;0;false;false
rev_1efd1-b13ed;twoDevs;2;0;0;0;0;false;false
rev_30fdb-e5e88;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7dd71-50542;twoDevs;2;0;0;0;0;false;false
rev_a682a-db1e1;twoDevs;2;0;0;0;0;false;false
rev_0cb23-0d8ed;oneDev;1;0;0;0;0;false;false
rev_c2898-0f074;twoDevs;2;0;0;0;0;false;false
rev_e9d26-625bb;twoDevs;2;0;0;0;0;false;false
rev_4c63b-2c622;twoDevs;2;0;0;0;0;false;false
rev_8d585-eea28;twoDevs;2;0;0;0;0;false;false
rev_eeed5-faf2f;oneDev;1;0;0;0;0;false;false
rev_673b6-c2176;twoDevs;2;0;0;0;0;false;false
rev_59286-8e0c4;twoDevs;2;0;0;0;0;false;false
rev_298b8-8e0c4;twoDevs;2;0;0;0;0;false;false
rev_645f9-0a22b;twoDevs;2;0;0;0;0;false;false
rev_ff736-2be52;twoDevs;2;0;0;0;0;false;false
rev_9a80b-aa929;twoDevs;2;0;0;0;0;false;false
rev_22bb8-66918;moreThanTwoDevs;3;0;0;0;0;false;false
rev_df4ef-99bd5;twoDevs;2;0;0;0;0;false;false
rev_bd54c-99bd5;twoDevs;2;0;0;0;0;false;false
rev_636f5-94a52;twoDevs;2;0;0;0;0;false;false
rev_7077e-d1638;twoDevs;2;0;0;0;0;false;false
rev_002db-d1638;twoDevs;2;0;0;0;0;false;false
rev_7077e-966fd;twoDevs;2;0;0;0;0;false;false
rev_b1ad9-eaef7;twoDevs;2;0;0;0;0;false;false
rev_51be5-22b35;twoDevs;2;0;0;0;0;false;false
rev_e7c1f-d4fc4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6ce34-f82d8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2f283-04bb5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0c7ed-c9980;twoDevs;2;0;0;0;0;false;false
rev_e2b28-ab45a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f6c64-18b17;twoDevs;2;0;0;0;0;false;false
rev_0e3aa-3b8ec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f50ef-780e5;twoDevs;2;0;0;0;0;false;false
rev_0fe8b-6e6ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e2d1d-0c5a2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0313c-92461;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e53eb-59fd4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eed4c-9c672;moreThanTwoDevs;3;0;0;0;0;false;false
rev_235ce-785e0;moreThanTwoDevs;3;0;0;0;0;false;false
