name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_c1562-0620d;twoDevs;2;0;0;0;0;false;false
rev_14124-98ce7;twoDevs;2;0;0;0;0;false;false
rev_16b81-67664;twoDevs;2;0;0;0;0;false;false
rev_57e28-8ce9b;twoDevs;2;0;0;0;0;false;false
rev_13e82-39e69;twoDevs;2;0;0;0;0;false;false
rev_3eef4-184c4;twoDevs;2;0;0;0;0;false;false
rev_d3be6-b4360;twoDevs;2;0;0;0;0;false;false
rev_6e09c-341f1;twoDevs;2;0;0;0;0;false;false
rev_89d7c-86ef7;twoDevs;2;0;0;0;0;false;false
rev_2f88e-2abbd;twoDevs;2;0;0;0;0;false;false
rev_5e67e-22a14;twoDevs;2;0;0;0;0;false;false
rev_d4729-7a4c7;twoDevs;2;0;0;0;0;false;false
rev_16fd1-04c1a;twoDevs;2;0;0;0;0;false;false
rev_700fb-e9f26;twoDevs;2;0;0;0;0;false;false
rev_20f5d-040c8;twoDevs;2;0;0;0;0;false;false
rev_86563-08698;twoDevs;2;0;0;0;0;false;false
rev_97847-a1e58;twoDevs;2;0;0;0;0;false;false
rev_080d4-08b74;twoDevs;2;0;0;0;0;false;false
rev_3536c-e93ee;oneDev;1;0;0;0;0;false;false
rev_be883-ec8c2;oneDev;1;0;0;0;0;false;false
rev_25957-7a633;oneDev;1;0;0;0;0;false;false
rev_efdb8-89db1;oneDev;1;0;0;0;0;false;false
rev_3185d-f18f7;oneDev;1;0;0;0;0;false;false
rev_2c62e-97091;oneDev;1;0;0;0;0;false;false
rev_6134e-6c0ca;twoDevs;2;0;0;0;0;false;false
rev_45472-c4fcf;twoDevs;2;0;0;0;0;false;false
rev_699b7-ed1c8;oneDev;1;0;0;0;0;false;false
rev_e9d7a-1583c;oneDev;1;0;0;0;0;false;true
rev_43917-d4038;twoDevs;2;0;0;0;0;false;false
rev_2e488-5df2f;oneDev;1;0;0;0;0;false;false
rev_312b4-22757;oneDev;1;0;0;0;0;false;false
rev_63f2e-1fc21;oneDev;1;0;0;0;0;false;false
rev_ee934-62174;oneDev;1;0;0;0;0;false;false
rev_48dad-cd6ae;oneDev;1;0;0;0;0;false;false
rev_86dfd-5bfe1;oneDev;1;0;0;0;0;false;false
rev_d9bbb-ef49e;oneDev;1;0;0;0;0;false;false
rev_3f1b5-246fa;oneDev;1;0;0;0;0;false;false
rev_bd553-76d07;oneDev;1;0;0;0;0;false;false
rev_68410-6cb51;oneDev;1;0;0;0;0;false;false
rev_60c30-b6537;oneDev;1;0;0;0;0;false;false
rev_ac94c-fcebe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_48971-164f9;twoDevs;2;0;0;0;0;false;false
rev_3862c-abbb4;twoDevs;2;0;0;0;0;false;false
rev_22d0d-43dea;twoDevs;2;0;0;0;0;false;false
rev_9c124-86e31;twoDevs;2;0;0;0;0;false;false
rev_29c53-7b2ff;twoDevs;2;0;0;0;0;false;false
rev_5bac5-24fb4;twoDevs;2;0;0;0;0;false;false
rev_88f62-1b63d;twoDevs;2;0;0;0;0;false;false
rev_db34f-e0d0c;oneDev;1;0;0;0;0;false;false
rev_4941a-a4833;twoDevs;2;0;0;0;0;false;false
rev_62d0d-3dffa;twoDevs;2;0;0;0;0;false;false
rev_6e133-7d8b1;oneDev;1;0;0;0;0;false;false
rev_df826-f07c9;twoDevs;2;0;0;0;0;false;false
rev_5a41b-32908;oneDev;1;0;0;0;0;false;false
rev_6f4ba-46e9e;oneDev;1;0;0;0;0;false;false
rev_d70d2-4c518;oneDev;1;0;0;0;0;false;false
rev_176a1-3affa;twoDevs;2;0;0;0;0;false;false
rev_bd137-c4228;oneDev;1;0;0;0;0;false;false
rev_b399d-a20d6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6cfce-75896;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1382d-abb2d;twoDevs;2;0;0;0;0;false;false
rev_8f7f8-c60fd;oneDev;1;0;0;0;0;false;false
rev_dfc20-4589f;twoDevs;2;0;0;0;0;false;false
rev_6501f-eefb9;twoDevs;2;0;0;0;0;false;false
rev_273fd-6bfe1;twoDevs;2;0;0;0;0;false;false
rev_837a0-15e72;twoDevs;2;0;0;0;0;false;false
rev_f872a-d5c86;twoDevs;2;0;0;0;0;false;false
rev_f872a-9b089;twoDevs;2;0;0;0;0;false;false
rev_a7434-19a32;twoDevs;2;0;0;0;0;false;false
rev_18488-b0aa6;oneDev;1;0;0;0;0;false;false
rev_ccb72-d2da1;oneDev;1;0;0;0;0;false;false
rev_8bf5a-14122;twoDevs;2;0;0;0;0;false;false
rev_20f01-1f54a;oneDev;1;0;0;0;0;false;false
rev_e71da-9b0ce;oneDev;1;0;0;0;0;false;false
rev_bbfba-271e5;twoDevs;2;0;0;0;0;false;false
rev_3f23f-3ac39;oneDev;1;0;0;0;0;false;false
rev_18fb9-015a8;twoDevs;2;0;0;0;0;false;false
rev_49497-57ab6;twoDevs;2;0;0;0;0;false;false
rev_3b794-17d98;twoDevs;2;0;0;0;0;false;false
rev_14d82-5ec74;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3d438-5ec74;twoDevs;2;0;0;0;0;false;true
rev_fbafc-c532d;twoDevs;2;0;0;0;0;false;false
rev_296b2-29381;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0d573-c2002;twoDevs;2;0;0;0;0;false;false
rev_22892-faf37;moreThanTwoDevs;3;0;0;0;0;false;true
rev_dc94d-23d16;oneDev;1;0;0;0;0;false;false
rev_00cef-ecc83;oneDev;1;0;0;0;0;false;false
rev_fd4b7-ef0e3;oneDev;1;0;0;0;0;false;false
rev_6c645-939e5;oneDev;1;0;0;0;0;false;false
rev_150bf-2aa99;oneDev;1;0;0;0;0;false;false
rev_fc94a-e5fe2;oneDev;1;0;0;0;0;false;false
rev_2e56b-22692;oneDev;1;0;0;0;0;false;false
rev_a3dbe-f07f6;oneDev;1;0;0;0;0;false;false
rev_de7bc-70b98;oneDev;1;0;0;0;0;false;false
rev_d1488-3d2b2;oneDev;1;0;0;0;0;false;false
rev_5254c-f5f82;oneDev;1;0;0;0;0;false;false
