name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_d12ad-a448d;oneDev;1;0;0;0;0;false;false
rev_ae856-a04a9;twoDevs;2;0;0;0;0;false;false
rev_c26d6-e9420;twoDevs;2;0;0;0;0;false;false
rev_08acd-2e0e2;twoDevs;2;0;0;0;0;false;false
rev_b915f-a1a1e;twoDevs;2;0;0;0;0;false;false
rev_8a37a-ad2ef;oneDev;1;0;0;0;0;false;false
rev_376d2-c1650;oneDev;1;0;0;0;0;false;false
rev_027a0-06b1c;oneDev;1;0;0;0;0;false;false
rev_c8e6a-e4581;oneDev;1;0;0;0;0;false;false
rev_a1f1f-fec58;twoDevs;2;0;0;0;0;false;true
rev_0ed7f-e622e;oneDev;1;0;0;0;0;false;false
rev_2142a-fcf10;oneDev;1;0;0;0;0;false;false
rev_27cb9-2e8d2;oneDev;1;0;0;0;0;false;false
rev_25902-2e8d2;oneDev;1;0;0;0;0;false;false
rev_e4809-fb73b;oneDev;1;0;0;0;0;false;false
rev_372e2-87f6b;oneDev;1;0;0;0;0;false;false
rev_ab762-d7410;twoDevs;2;8;0;0;0;true;true
rev_0b4e6-256d0;oneDev;1;0;0;0;0;false;false
rev_dd79f-72435;oneDev;1;0;0;0;0;false;false
rev_bade1-d3906;oneDev;1;0;0;0;0;false;false
rev_4fe1b-a22f4;oneDev;1;0;0;0;0;false;false
rev_0111d-a8745;oneDev;1;0;0;0;0;false;false
rev_f8801-52bfa;oneDev;1;0;0;0;0;false;false
rev_d66c2-1c04a;twoDevs;2;0;0;0;0;false;false
rev_84247-dfebf;oneDev;1;0;0;0;0;false;false
rev_06905-c824e;twoDevs;2;0;0;0;0;false;false
rev_9e7d8-cb081;twoDevs;2;0;0;0;0;false;false
rev_8a67e-6b074;twoDevs;2;0;0;0;0;false;false
rev_96a76-c4e54;twoDevs;2;0;0;0;0;false;false
rev_bdd39-c2a1b;oneDev;1;0;0;0;0;false;false
rev_38c06-d2306;twoDevs;2;0;0;0;0;false;false
rev_687b4-b95b3;twoDevs;2;0;0;0;0;false;false
rev_27f55-6b021;twoDevs;2;0;0;0;0;false;false
rev_2b798-2e5ff;twoDevs;2;0;0;0;0;false;true
rev_60034-5a703;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7f913-2618a;twoDevs;2;0;0;0;0;false;false
rev_d61f0-ee7a8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3a4bf-039b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6df78-039b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3a94-e5327;twoDevs;2;0;0;0;0;false;false
rev_23604-b8a0d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d7c7d-46790;moreThanTwoDevs;3;0;0;0;0;false;false
rev_da67f-a22ed;twoDevs;2;0;0;0;0;false;false
rev_751b7-72c0c;twoDevs;2;0;0;0;0;false;false
rev_2b289-77b83;twoDevs;2;0;0;0;0;false;false
rev_45a28-a6951;twoDevs;2;0;0;0;0;false;false
rev_3f1bb-203c7;twoDevs;2;0;0;0;0;false;false
rev_69867-cafaa;twoDevs;2;0;0;0;0;false;false
