name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_1b918-21671;twoDevs;2;0;0;0;0;false;true
rev_21b6e-21169;oneDev;1;0;0;0;0;false;false
rev_6c5e5-0b8b8;oneDev;1;2;0;0;0;true;false
rev_8a690-791cd;twoDevs;2;4;1;3;1;true;true
rev_e5137-b5bb0;twoDevs;2;0;0;0;0;false;false
rev_f171b-6f6aa;twoDevs;2;1;0;0;0;true;false
rev_53fca-a19e0;twoDevs;2;1;0;0;0;true;false
rev_8ff5e-bd1a8;twoDevs;2;1;1;0;0;true;false
rev_ef28d-da7cc;twoDevs;2;0;0;0;0;false;false
rev_6babd-dd543;twoDevs;2;0;0;0;0;false;false
rev_bc2b3-763b4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9935d-9a186;twoDevs;2;0;0;0;0;false;false
rev_58426-63e92;moreThanTwoDevs;3;0;0;0;0;false;false
rev_52db9-33f87;twoDevs;2;0;0;0;0;false;false
rev_1ccbd-d14f0;oneDev;1;0;0;0;0;false;true
rev_2c16a-8c3c2;oneDev;1;3;0;1;0;true;true
rev_c31bf-081b9;oneDev;1;0;0;0;0;false;false
rev_7f651-afd2f;oneDev;1;0;0;0;0;false;false
rev_23bc0-6103b;twoDevs;2;0;0;0;0;false;false
rev_d2e7d-61d29;twoDevs;2;0;0;0;0;false;false
rev_01288-8ede5;twoDevs;2;0;0;0;0;false;false
rev_49178-60b69;twoDevs;2;0;0;0;0;false;false
rev_09972-17c8a;twoDevs;2;0;0;0;0;false;false
rev_bbac0-407dd;twoDevs;2;0;0;0;0;false;false
rev_3dad0-6dd30;twoDevs;2;0;0;0;0;false;false
rev_3367d-6a543;twoDevs;2;0;0;0;0;false;false
rev_d9db4-0e926;twoDevs;2;0;0;0;0;false;false
rev_5b10a-fc5d7;twoDevs;2;0;0;0;0;false;false
rev_2b0a9-672bf;twoDevs;2;0;0;0;0;false;false
rev_509a6-42152;twoDevs;2;0;0;0;0;false;false
rev_27440-146d8;twoDevs;2;0;0;0;0;false;false
rev_8aba6-54f71;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5597f-e3d62;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4a6c4-c329c;twoDevs;2;0;0;0;0;false;false
rev_370f5-2e424;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fd56e-3e53a;moreThanTwoDevs;4;0;0;0;0;false;true
rev_72aba-746a7;twoDevs;2;0;0;0;0;false;false
rev_4daeb-426af;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0a217-200a2;twoDevs;2;0;0;0;0;false;false
rev_65250-ea8b1;twoDevs;2;0;0;0;0;false;false
rev_ecae3-357bd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d4c7a-c64ad;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e3348-e15b1;oneDev;1;0;0;0;0;false;false
rev_0ffde-81a14;oneDev;1;0;0;0;0;false;false
rev_d9872-5a2b0;twoDevs;2;0;0;0;0;false;false
rev_84c32-cb91b;twoDevs;2;0;0;0;0;false;false
rev_03d9b-1805d;twoDevs;2;0;0;0;0;false;false
rev_33c5f-11578;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d8efc-7c8e7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bf3fc-887d1;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b4ca7-02187;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a38f5-a0aee;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4e93a-ce906;twoDevs;2;0;0;0;0;false;false
rev_3565f-4ff6f;twoDevs;2;0;0;0;0;false;false
rev_59f30-9f4ca;twoDevs;2;0;0;0;0;false;false
rev_609d1-d55d4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d8589-70b77;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b5391-4e59c;twoDevs;2;0;0;0;0;false;false
rev_5a2cc-36759;twoDevs;2;0;0;0;0;false;false
rev_000c6-8e997;twoDevs;2;0;0;0;0;false;false
rev_439c2-36a3a;twoDevs;2;0;0;0;0;false;false
rev_fb41e-eba35;twoDevs;2;0;0;0;0;false;false
rev_a79b0-b1fc1;twoDevs;2;0;0;0;0;false;false
rev_8a280-0b9db;twoDevs;2;0;0;0;0;false;false
rev_dce34-01a49;twoDevs;2;0;0;0;0;false;false
rev_aa391-7f04e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d7bb-409c5;twoDevs;2;0;0;0;0;false;false
rev_958b3-f6741;twoDevs;2;0;0;0;0;false;false
rev_6a41f-d9469;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f4b26-11277;twoDevs;2;0;0;0;0;false;false
rev_46e64-4faea;twoDevs;2;0;0;0;0;false;false
