name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_7e830-46bc6;oneDev;1;0;0;0;0;false;false
rev_a76d2-c0b6d;oneDev;1;0;0;0;0;false;false
rev_b817c-1d145;oneDev;1;0;0;0;0;false;false
rev_453bc-81a40;oneDev;1;0;0;0;0;false;false
rev_8f470-d4329;oneDev;1;0;0;0;0;false;false
rev_292b2-4c678;oneDev;1;0;0;0;0;false;false
rev_5fa49-db065;oneDev;1;0;0;0;0;false;false
rev_5f313-5db1b;twoDevs;2;0;0;0;0;false;false
rev_f3620-f1e6f;twoDevs;2;0;0;0;0;false;false
rev_db065-f1e6f;twoDevs;2;0;0;0;0;false;false
rev_47ab1-9725f;twoDevs;2;0;0;0;0;false;false
rev_c9216-3fab1;moreThanTwoDevs;3;2;2;2;2;true;true
rev_8b5d0-b6323;moreThanTwoDevs;3;2;2;1;1;true;true
rev_58e0c-c6f7d;twoDevs;2;0;0;0;0;false;false
rev_ed290-c17e8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d21f3-707d0;twoDevs;2;0;0;0;0;false;false
rev_707d0-ded32;oneDev;1;0;0;0;0;false;false
rev_ec1b4-1db0e;twoDevs;2;0;0;0;0;false;false
rev_569cf-180a4;twoDevs;2;0;0;0;0;false;false
rev_842ed-5ec4d;twoDevs;2;0;0;0;0;false;false
rev_57871-5938f;oneDev;1;0;0;0;0;false;false
rev_c6809-8ea88;twoDevs;2;0;0;0;0;false;false
rev_df93a-8e191;oneDev;1;0;0;0;0;false;false
rev_b3b2b-deca6;twoDevs;2;0;0;0;0;false;false
rev_ecbfa-a6e6f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c8cd-ae699;twoDevs;2;0;0;0;0;false;false
rev_2c2cf-87a65;twoDevs;2;0;0;0;0;false;false
rev_f16cc-26c14;twoDevs;2;0;0;0;0;false;false
rev_89452-ae3c7;twoDevs;2;0;0;0;0;false;false
rev_332bf-a756d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5190a-85f23;twoDevs;2;0;0;0;0;false;false
rev_6fd94-edbfe;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ec885-dd152;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fadc4-e3f75;twoDevs;2;0;0;0;0;false;false
rev_70334-e70cf;moreThanTwoDevs;5;0;0;0;0;false;true
rev_a1f09-49ee6;twoDevs;2;0;0;0;0;false;false
rev_5168c-ad4f1;twoDevs;2;0;0;0;0;false;false
rev_ad4f1-8df70;twoDevs;2;0;0;0;0;false;false
rev_b568a-7de52;oneDev;1;0;0;0;0;false;false
rev_0eb8a-e30d0;twoDevs;2;0;0;0;0;false;false
rev_c96f2-cd35c;twoDevs;2;0;0;0;0;false;false
rev_cd35c-92d98;twoDevs;2;0;0;0;0;false;false
rev_cf566-eba75;oneDev;1;0;0;0;0;false;false
rev_1ef85-ab9a3;twoDevs;2;0;0;0;0;false;false
rev_e1fc0-a9286;twoDevs;2;0;0;0;0;false;false
rev_ab9a3-80f32;twoDevs;2;0;0;0;0;false;false
rev_dbc30-3f531;oneDev;1;0;0;0;0;false;false
rev_537f5-9f7eb;twoDevs;2;0;0;0;0;false;false
rev_c53b3-81e72;twoDevs;2;0;0;0;0;false;false
rev_35d7f-aca48;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a7eda-a72a6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_756ee-97ff9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1134f-51952;moreThanTwoDevs;3;0;0;0;0;false;false
rev_00a74-e1840;moreThanTwoDevs;3;0;0;0;0;false;true
rev_10149-b803a;moreThanTwoDevs;3;0;0;0;0;false;true
rev_67281-692cf;twoDevs;2;0;0;0;0;false;true
rev_11d35-44ef4;moreThanTwoDevs;3;0;0;0;0;false;true
rev_11339-f8d33;twoDevs;2;0;0;0;0;false;true
rev_eba3a-000b9;twoDevs;2;0;0;0;0;false;false
rev_64f7f-444d4;twoDevs;2;0;0;0;0;false;false
rev_0b761-76943;twoDevs;2;0;0;0;0;false;false
rev_9c66a-15b2d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_674c4-59c26;moreThanTwoDevs;3;0;0;0;0;false;false
rev_14e95-a2fb8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cc247-b97c9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_def8d-6c483;twoDevs;2;0;0;0;0;false;false
rev_e9c76-9be88;twoDevs;2;0;0;0;0;false;false
rev_4e7fd-0e731;twoDevs;2;0;0;0;0;false;false
rev_aca48-6c2fc;moreThanTwoDevs;5;0;0;0;0;false;false
rev_407d4-6e87c;oneDev;1;0;0;0;0;false;false
rev_e5268-c10b6;twoDevs;2;0;0;0;0;false;false
rev_ccbb7-b9217;moreThanTwoDevs;3;0;0;0;0;false;false
rev_eb965-6c2eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6037-fd271;twoDevs;2;0;0;0;0;false;false
rev_22c80-d14dd;twoDevs;2;0;0;0;0;false;false
rev_4d2ec-8b5f9;twoDevs;2;0;0;0;0;false;false
rev_38beb-9cdcb;twoDevs;2;0;0;0;0;false;false
rev_4eadf-0f951;moreThanTwoDevs;5;0;0;0;0;false;true
rev_0f951-706c6;moreThanTwoDevs;5;0;0;0;0;false;false
rev_53de0-fb7d7;twoDevs;2;0;0;0;0;false;false
rev_776a0-e1335;moreThanTwoDevs;3;0;0;0;0;false;false
rev_60593-61881;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f5d12-a5b9e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_26636-313de;moreThanTwoDevs;3;0;0;0;0;false;false
rev_33416-16aec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a5a38-28169;twoDevs;2;0;0;0;0;false;false
rev_b31cd-1b414;twoDevs;2;0;0;0;0;false;false
rev_b2bef-b980b;moreThanTwoDevs;3;0;0;0;0;false;true
rev_eda38-fcee2;twoDevs;2;0;0;0;0;false;false
rev_c6685-38325;twoDevs;2;0;0;0;0;false;false
rev_d4d76-03fca;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6eb7d-64172;twoDevs;2;0;0;0;0;false;false
rev_e1335-110af;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d8924-f362e;twoDevs;2;0;0;0;0;false;false
rev_1ad3a-4d04e;twoDevs;2;0;0;0;0;false;false
rev_d44d2-7e555;twoDevs;2;0;0;0;0;false;false
rev_51638-50a53;twoDevs;2;0;0;0;0;false;false
rev_64bda-b2a3e;twoDevs;2;0;0;0;0;false;false
rev_46f73-4699c;oneDev;1;0;0;0;0;false;false
rev_4699c-8170e;oneDev;1;0;0;0;0;false;false
rev_8170e-c3adc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5f488-cc99d;twoDevs;2;0;0;0;0;false;false
rev_4c01c-23f2c;twoDevs;2;0;0;0;0;false;false
rev_23f2c-658f5;twoDevs;2;0;0;0;0;false;false
rev_4325a-223e7;twoDevs;2;0;0;0;0;false;false
rev_83618-35f5b;twoDevs;2;0;0;0;0;false;false
rev_35f5b-6c889;twoDevs;2;0;0;0;0;false;false
rev_c42d1-9fece;twoDevs;2;0;0;0;0;false;false
rev_9fece-9bb9f;twoDevs;2;0;0;0;0;false;false
rev_9bb9f-8f85d;twoDevs;2;0;0;0;0;false;false
rev_b1fb1-fc9e9;twoDevs;2;0;0;0;0;false;false
rev_ee3c3-b12a1;twoDevs;2;0;0;0;0;false;false
rev_08e27-311ef;twoDevs;2;0;0;0;0;false;false
rev_a116d-70587;twoDevs;2;0;0;0;0;false;false
rev_85892-88931;twoDevs;2;0;0;0;0;false;false
rev_88931-d2f77;moreThanTwoDevs;3;0;0;0;0;false;false
rev_83067-40ed0;twoDevs;2;0;0;0;0;false;false
rev_6d2a2-d8228;twoDevs;2;0;0;0;0;false;false
rev_60b54-5ccef;twoDevs;2;0;0;0;0;false;false
rev_ee3a7-e744e;twoDevs;2;0;0;0;0;false;false
rev_29b3d-1f075;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ef068-48b58;twoDevs;2;0;0;0;0;false;true
rev_6c340-2384e;twoDevs;2;0;0;0;0;false;false
rev_19ce8-80764;twoDevs;2;0;0;0;0;false;false
rev_3580b-227b2;twoDevs;2;0;0;0;0;false;false
rev_7c2b8-5bcd9;twoDevs;2;0;0;0;0;false;false
rev_fe350-e7db0;twoDevs;2;0;0;0;0;false;false
rev_891b6-a8a55;twoDevs;2;0;0;0;0;false;false
rev_0b3f6-1a194;twoDevs;2;0;0;0;0;false;false
rev_b71e7-41762;twoDevs;2;0;0;0;0;false;false
rev_eec22-54b86;twoDevs;2;0;0;0;0;false;false
rev_89d01-f4922;twoDevs;2;0;0;0;0;false;false
rev_149c1-46431;twoDevs;2;0;0;0;0;false;false
rev_144b8-703d2;twoDevs;2;0;0;0;0;false;false
rev_e6061-edace;twoDevs;2;0;0;0;0;false;false
rev_bb2d6-eb568;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b295a-01fc3;twoDevs;2;0;0;0;0;false;false
rev_1016a-e46d8;twoDevs;2;0;0;0;0;false;false
rev_e46d8-60f41;twoDevs;2;0;0;0;0;false;false
rev_60f41-36a8a;oneDev;1;0;0;0;0;false;false
rev_f1011-36a8a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6bd15-92643;moreThanTwoDevs;3;0;0;0;0;false;false
rev_79816-ebc5d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_37aca-75233;moreThanTwoDevs;3;0;0;0;0;false;true
rev_90daf-7b442;moreThanTwoDevs;3;0;0;0;0;false;false
rev_52d53-044e2;twoDevs;2;0;0;0;0;false;false
rev_044e2-75659;twoDevs;2;0;0;0;0;false;false
rev_75659-2f01a;twoDevs;2;0;0;0;0;false;false
rev_593e7-2f01a;twoDevs;2;0;0;0;0;false;false
