name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_25f68-6c4e3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_01823-f8c20;twoDevs;2;0;0;0;0;false;false
rev_19c2a-9ab2f;twoDevs;2;0;0;0;0;false;false
rev_665d0-db056;twoDevs;2;0;0;0;0;false;false
rev_39963-0b863;twoDevs;2;0;0;0;0;false;false
rev_2a445-8711f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c1344-d2def;twoDevs;2;0;0;0;0;false;false
rev_54cb7-f725f;twoDevs;2;0;0;0;0;false;false
rev_1b370-c3a7d;twoDevs;2;0;0;0;0;false;false
rev_e7689-1b38c;twoDevs;2;0;0;0;0;false;false
rev_a2894-c0ae7;oneDev;1;0;0;0;0;false;false
rev_98ae4-cbc9c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5a978-7c78b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_be1dc-0fdd7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_75af7-c251e;twoDevs;2;0;0;0;0;false;false
rev_3749b-f67b1;twoDevs;2;0;0;0;0;false;false
rev_ed973-32453;twoDevs;2;0;0;0;0;false;false
rev_76c56-6f2e1;twoDevs;2;0;0;0;0;false;false
rev_865c5-af458;twoDevs;2;0;0;0;0;false;false
rev_6c8e8-45cd5;twoDevs;2;0;0;0;0;false;false
rev_22e39-a1a62;twoDevs;2;0;0;0;0;false;false
rev_0f8d0-78f9a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ca0a1-2e742;twoDevs;2;0;0;0;0;false;false
rev_e23bc-78137;twoDevs;2;0;0;0;0;false;false
rev_48636-8b77a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f8520-53cb8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_75548-87321;twoDevs;2;0;0;0;0;false;false
rev_499f5-b9526;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d87f4-08a0c;twoDevs;2;0;0;0;0;false;false
rev_275cf-0b560;twoDevs;2;0;0;0;0;false;false
rev_94dd5-33499;moreThanTwoDevs;9;0;0;0;0;false;true
rev_12907-10d82;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6025f-471e6;moreThanTwoDevs;17;0;0;0;0;false;false
rev_a330c-90480;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5f02a-43bd4;twoDevs;2;0;0;0;0;false;false
rev_789f5-bce3e;twoDevs;2;0;0;0;0;false;false
rev_506c0-56b8f;twoDevs;2;0;0;0;0;false;false
rev_8aa81-288e7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_1acff-8eca4;moreThanTwoDevs;22;0;0;0;0;false;false
rev_bd388-254b1;twoDevs;2;0;0;0;0;false;false
rev_59a89-f761d;moreThanTwoDevs;24;0;0;0;0;false;true
rev_dacad-4021a;twoDevs;2;0;0;0;0;false;false
rev_01fcf-e018f;moreThanTwoDevs;26;0;0;0;0;false;false
rev_b5e7c-f8c12;moreThanTwoDevs;26;0;0;0;0;false;false
rev_aaf50-15f38;twoDevs;2;0;0;0;0;false;false
rev_5205c-08a6e;moreThanTwoDevs;27;0;0;0;0;false;true
rev_0b4e2-fa7da;moreThanTwoDevs;27;3;0;2;0;true;false
rev_586b5-6a644;moreThanTwoDevs;27;1;0;0;0;true;true
rev_77ae7-dd83b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94b8b-b9c80;moreThanTwoDevs;28;0;0;0;0;false;true
rev_ee086-6dafa;moreThanTwoDevs;28;0;0;0;0;false;false
rev_9b1ed-426c5;moreThanTwoDevs;28;0;0;0;0;false;false
rev_d59cb-0c2bc;twoDevs;2;0;0;0;0;false;false
rev_b77a9-8fa22;moreThanTwoDevs;28;0;0;0;0;false;true
rev_40b55-b76a5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a3c35-42be7;moreThanTwoDevs;33;0;0;0;0;false;false
rev_f2115-7d643;moreThanTwoDevs;33;0;0;0;0;false;false
rev_e7f7b-6e82e;moreThanTwoDevs;32;0;0;0;0;false;false
rev_68448-ddbfe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55f3c-362df;moreThanTwoDevs;33;0;0;0;0;false;true
rev_d4d3f-f659a;moreThanTwoDevs;33;4;0;0;0;true;false
rev_f746c-819b3;moreThanTwoDevs;35;0;0;0;0;false;false
rev_5807c-195a3;twoDevs;2;0;0;0;0;false;false
rev_05d1a-30b18;moreThanTwoDevs;36;0;0;0;0;false;true
rev_ed15f-2025d;moreThanTwoDevs;36;0;0;0;0;false;true
rev_ef739-8f7c9;moreThanTwoDevs;36;1;0;0;0;true;false
rev_5a69b-abc1e;moreThanTwoDevs;36;0;0;0;0;false;true
rev_b3129-0e4b1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_32dff-923b0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_593d1-fe3d2;moreThanTwoDevs;38;0;0;0;0;false;true
rev_8f32b-f2351;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b982-933c6;oneDev;1;0;0;0;0;false;false
rev_2ad4c-216e9;twoDevs;2;0;0;0;0;false;false
rev_b5d26-b585a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_143e1-6ba13;twoDevs;2;0;0;0;0;false;false
rev_2bff1-21846;moreThanTwoDevs;3;0;0;0;0;false;false
rev_378d3-20fb5;oneDev;1;0;0;0;0;false;false
rev_dbfd7-5fbe5;twoDevs;2;0;0;0;0;false;false
rev_c713c-f30b9;oneDev;1;0;0;0;0;false;false
rev_179ac-009ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fd3e5-ce0cb;twoDevs;2;0;0;0;0;false;false
rev_bf83e-34141;moreThanTwoDevs;5;0;0;0;0;false;false
rev_84762-12441;moreThanTwoDevs;3;0;0;0;0;false;false
rev_41ca0-672d7;twoDevs;2;0;0;0;0;false;false
rev_d7d77-8853c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_120ad-0c528;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8cb90-4a33a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2f28a-0a70b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_977c5-ac2ab;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d5395-66431;moreThanTwoDevs;4;0;0;0;0;false;false
rev_cef1e-7945b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_13ee4-68163;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7bb1f-4d4cc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3c99b-f5c8a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f9725-32ede;moreThanTwoDevs;4;0;0;0;0;false;false
rev_cc512-8c15b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_13c94-bd577;moreThanTwoDevs;4;0;0;0;0;false;false
rev_85833-cba50;moreThanTwoDevs;4;0;0;0;0;false;false
rev_29b38-32a19;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ba2c3-05e6a;moreThanTwoDevs;5;0;0;0;0;false;false
rev_5ce46-f8bf0;moreThanTwoDevs;6;0;0;0;0;false;false
rev_ee40f-86d47;moreThanTwoDevs;7;0;0;0;0;false;false
rev_6c718-333bc;moreThanTwoDevs;7;0;0;0;0;false;false
rev_2abf3-b69a5;moreThanTwoDevs;7;0;0;0;0;false;false
rev_3639f-b7299;moreThanTwoDevs;7;0;0;0;0;false;false
rev_64222-6f8d4;moreThanTwoDevs;8;0;0;0;0;false;false
rev_be280-bacbf;moreThanTwoDevs;8;0;0;0;0;false;false
rev_b78d4-6ba82;moreThanTwoDevs;8;0;0;0;0;false;false
rev_67ba6-6c5f8;moreThanTwoDevs;8;0;0;0;0;false;false
rev_68582-9372d;moreThanTwoDevs;9;0;0;0;0;false;false
rev_a7338-0c6a0;moreThanTwoDevs;9;0;0;0;0;false;false
rev_26cc6-12590;moreThanTwoDevs;10;0;0;0;0;false;false
rev_5f8c1-e1857;moreThanTwoDevs;9;0;0;0;0;false;false
rev_7f9ef-7d213;moreThanTwoDevs;9;0;0;0;0;false;false
rev_ce02e-d854c;moreThanTwoDevs;9;0;0;0;0;false;false
rev_7641f-88828;moreThanTwoDevs;9;0;0;0;0;false;false
rev_13bb2-38f8d;moreThanTwoDevs;9;0;0;0;0;false;false
rev_df920-ccda6;moreThanTwoDevs;11;0;0;0;0;false;false
rev_80ee9-cac38;moreThanTwoDevs;12;0;0;0;0;false;true
rev_acb62-9a7a4;moreThanTwoDevs;12;0;0;0;0;false;false
rev_029b9-0cf1c;moreThanTwoDevs;12;0;0;0;0;false;false
rev_6634a-2fae4;moreThanTwoDevs;12;0;0;0;0;false;false
rev_c5561-0a3a0;moreThanTwoDevs;12;0;0;0;0;false;false
rev_e63ba-481cf;moreThanTwoDevs;12;0;0;0;0;false;true
rev_21995-912d5;twoDevs;2;0;0;0;0;false;false
rev_45c8e-a35a7;twoDevs;2;0;0;0;0;false;false
rev_12fb8-36ab0;twoDevs;2;0;0;0;0;false;false
rev_1fe13-eb721;moreThanTwoDevs;15;1;1;1;1;true;false
rev_83bd3-2188e;moreThanTwoDevs;15;0;0;0;0;false;false
rev_baec9-7685d;moreThanTwoDevs;15;0;0;0;0;false;false
rev_eb4ae-32651;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8e38c-fbd42;moreThanTwoDevs;16;0;0;0;0;false;true
rev_8e555-8e841;moreThanTwoDevs;16;0;0;0;0;false;false
rev_39923-5f9fd;moreThanTwoDevs;16;0;0;0;0;false;false
rev_cee8c-896a8;moreThanTwoDevs;16;0;0;0;0;false;false
rev_de7ff-c7045;moreThanTwoDevs;16;0;0;0;0;false;false
rev_595c8-69c61;moreThanTwoDevs;16;0;0;0;0;false;false
rev_0e775-9717b;moreThanTwoDevs;16;0;0;0;0;false;false
rev_2ed24-d0f49;moreThanTwoDevs;16;0;0;0;0;false;false
rev_49805-5ef45;moreThanTwoDevs;16;0;0;0;0;false;false
rev_e6c18-d5155;moreThanTwoDevs;16;0;0;0;0;false;false
rev_658dc-bbdfc;moreThanTwoDevs;16;0;0;0;0;false;true
rev_d6fdc-939af;moreThanTwoDevs;16;0;0;0;0;false;true
rev_d1f4f-00ef2;moreThanTwoDevs;16;0;0;0;0;false;false
rev_9da55-607f7;moreThanTwoDevs;16;0;0;0;0;false;false
rev_43de5-2d674;moreThanTwoDevs;16;0;0;0;0;false;false
rev_bb13e-f4dc0;moreThanTwoDevs;16;0;0;0;0;false;false
rev_fcebf-95d65;moreThanTwoDevs;16;0;0;0;0;false;false
rev_ef289-28f7c;moreThanTwoDevs;16;0;0;0;0;false;false
rev_2b47d-fdd79;twoDevs;2;0;0;0;0;false;false
rev_bacdd-40d8d;twoDevs;2;0;0;0;0;false;false
rev_993a4-1381f;moreThanTwoDevs;17;0;0;0;0;false;false
rev_2d2cc-d0a85;moreThanTwoDevs;17;0;0;0;0;false;false
rev_a9c2e-adc8c;moreThanTwoDevs;17;0;0;0;0;false;false
rev_2d4e6-37aa5;moreThanTwoDevs;17;0;0;0;0;false;false
rev_d16ae-1ddcf;moreThanTwoDevs;17;0;0;0;0;false;false
rev_a4da3-47b59;moreThanTwoDevs;17;0;0;0;0;false;false
rev_ff870-c2444;moreThanTwoDevs;18;0;0;0;0;false;false
rev_affb2-5dcc4;twoDevs;2;0;0;0;0;false;false
rev_dd6bf-a07f0;moreThanTwoDevs;18;0;0;0;0;false;false
rev_f8a4d-0c0a0;moreThanTwoDevs;18;0;0;0;0;false;false
rev_2186d-b1ceb;twoDevs;2;0;0;0;0;false;false
rev_53c48-5001b;twoDevs;2;0;0;0;0;false;false
rev_5774e-34cbc;moreThanTwoDevs;18;0;0;0;0;false;false
rev_104b7-f4862;moreThanTwoDevs;18;0;0;0;0;false;false
rev_e1132-9a8d0;moreThanTwoDevs;18;0;0;0;0;false;false
rev_23602-811f5;moreThanTwoDevs;18;0;0;0;0;false;false
rev_38328-bedb4;moreThanTwoDevs;18;0;0;0;0;false;false
rev_6f62f-c2ff7;moreThanTwoDevs;18;0;0;0;0;false;false
rev_114cd-7e6ba;moreThanTwoDevs;18;0;0;0;0;false;false
rev_9a1c1-41389;twoDevs;2;0;0;0;0;false;false
rev_e0082-8a66d;moreThanTwoDevs;18;0;0;0;0;false;false
rev_fea9e-3f148;moreThanTwoDevs;18;0;0;0;0;false;true
rev_36c1b-73a5a;moreThanTwoDevs;18;0;0;0;0;false;false
rev_8399f-99021;moreThanTwoDevs;18;0;0;0;0;false;false
rev_ad8be-eaa3b;moreThanTwoDevs;18;0;0;0;0;false;false
rev_f5ab0-9a2f9;moreThanTwoDevs;19;0;0;0;0;false;true
rev_5455b-3b07e;moreThanTwoDevs;19;0;0;0;0;false;false
rev_3a1e6-a4e08;moreThanTwoDevs;20;0;0;0;0;false;false
rev_14948-750c1;moreThanTwoDevs;22;0;0;0;0;false;true
rev_9c339-06ffd;moreThanTwoDevs;21;0;0;0;0;false;false
rev_258c6-bf0c8;moreThanTwoDevs;22;0;0;0;0;false;false
rev_f2620-deef7;moreThanTwoDevs;22;0;0;0;0;false;false
rev_049cd-7828f;moreThanTwoDevs;22;0;0;0;0;false;false
rev_6f9f3-6456f;moreThanTwoDevs;22;0;0;0;0;false;false
rev_c0280-3c815;moreThanTwoDevs;22;0;0;0;0;false;false
rev_9b719-2ba2c;moreThanTwoDevs;22;0;0;0;0;false;false
rev_5a160-5ba86;moreThanTwoDevs;22;0;0;0;0;false;true
rev_4b25b-468b6;moreThanTwoDevs;22;0;0;0;0;false;false
rev_284e7-eed58;moreThanTwoDevs;22;0;0;0;0;false;false
rev_e8ce9-95c15;moreThanTwoDevs;22;0;0;0;0;false;false
rev_5946a-62a5c;moreThanTwoDevs;22;0;0;0;0;false;true
rev_4f610-9e9e4;moreThanTwoDevs;22;0;0;0;0;false;false
rev_d441e-611f9;moreThanTwoDevs;22;0;0;0;0;false;false
rev_aeead-6dcae;moreThanTwoDevs;22;2;0;0;0;true;false
rev_3c93d-bebcd;moreThanTwoDevs;22;0;0;0;0;false;false
rev_3c5b0-6248f;moreThanTwoDevs;22;0;0;0;0;false;false
rev_2dbe4-d6165;moreThanTwoDevs;22;0;0;0;0;false;false
rev_a3e0f-468db;moreThanTwoDevs;22;0;0;0;0;false;false
rev_0468c-a8af2;moreThanTwoDevs;23;0;0;0;0;false;false
rev_c2e58-5c84e;moreThanTwoDevs;24;0;0;0;0;false;false
rev_94404-a63d0;moreThanTwoDevs;23;0;0;0;0;false;false
rev_97dcd-38d8a;moreThanTwoDevs;23;0;0;0;0;false;false
rev_42821-cf22e;moreThanTwoDevs;23;0;0;0;0;false;false
rev_5d1a1-c4202;moreThanTwoDevs;22;0;0;0;0;false;false
rev_b4c94-23ff7;moreThanTwoDevs;22;0;0;0;0;false;false
rev_55a84-336b9;moreThanTwoDevs;23;0;0;0;0;false;false
rev_0d0e5-c1404;moreThanTwoDevs;22;0;0;0;0;false;false
rev_9d981-25805;moreThanTwoDevs;22;0;0;0;0;false;false
rev_abed1-72ef1;moreThanTwoDevs;22;0;0;0;0;false;false
rev_0c634-bff39;moreThanTwoDevs;22;0;0;0;0;false;false
rev_08f25-fa02c;moreThanTwoDevs;22;0;0;0;0;false;false
rev_b9edf-4f925;moreThanTwoDevs;23;0;0;0;0;false;true
rev_e156e-d0990;moreThanTwoDevs;22;0;0;0;0;false;false
rev_a7a33-6b5de;twoDevs;2;0;0;0;0;false;false
rev_32641-7f20f;twoDevs;2;0;0;0;0;false;false
rev_d1c5c-bebbe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d0990-61e90;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8b0d6-8fcf3;moreThanTwoDevs;26;0;0;0;0;false;false
rev_bfb38-79dee;moreThanTwoDevs;26;0;0;0;0;false;false
rev_dd8db-f7d1f;moreThanTwoDevs;26;0;0;0;0;false;false
rev_316e5-e4743;moreThanTwoDevs;26;0;0;0;0;false;false
rev_31e60-45a16;moreThanTwoDevs;26;0;0;0;0;false;false
rev_ef847-03436;moreThanTwoDevs;26;0;0;0;0;false;false
rev_104d6-1b8f5;moreThanTwoDevs;26;0;0;0;0;false;false
rev_06fa2-26a52;moreThanTwoDevs;26;0;0;0;0;false;true
rev_0b72b-0ff51;moreThanTwoDevs;26;0;0;0;0;false;false
rev_04c2e-c3d12;moreThanTwoDevs;26;0;0;0;0;false;false
rev_2f4b8-83491;moreThanTwoDevs;26;0;0;0;0;false;false
rev_c601c-bcd4c;moreThanTwoDevs;26;0;0;0;0;false;false
rev_f2812-f8477;moreThanTwoDevs;26;0;0;0;0;false;false
rev_30351-a702f;moreThanTwoDevs;28;0;0;0;0;false;false
rev_003d9-d724c;moreThanTwoDevs;28;0;0;0;0;false;false
rev_d63bb-bbf30;moreThanTwoDevs;3;0;0;0;0;false;false
