name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_3e84d-969df;oneDev;1;0;0;0;0;false;false
rev_35772-4e7a1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3226a-31f06;moreThanTwoDevs;3;0;0;0;0;false;false
rev_98072-26409;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b4d90-a1ac4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_82b34-91550;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bc104-52f05;twoDevs;2;0;0;0;0;false;false
rev_b7ca3-862e1;twoDevs;2;0;0;0;0;false;false
rev_a8a55-39335;oneDev;1;0;0;0;0;false;false
rev_1e870-e455c;oneDev;1;0;0;0;0;false;false
rev_d0e68-abeec;twoDevs;2;0;0;0;0;false;false
rev_998b7-896ec;twoDevs;2;0;0;0;0;false;false
rev_fc5ae-a3094;twoDevs;2;0;0;0;0;false;true
rev_20e1e-5046c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d3f28-0876c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_46f86-25294;oneDev;1;0;0;0;0;false;true
rev_51240-baae3;oneDev;1;0;0;0;0;false;false
rev_74a79-51359;oneDev;1;0;0;0;0;false;false
rev_df469-09372;moreThanTwoDevs;4;0;0;0;0;false;false
rev_66810-33272;moreThanTwoDevs;4;0;0;0;0;false;false
rev_26cc0-238f1;moreThanTwoDevs;4;0;0;0;0;false;true
rev_eeb7f-e70fa;oneDev;1;0;0;0;0;false;false
rev_8a64e-d4e3d;moreThanTwoDevs;6;0;0;0;0;false;true
rev_45a62-c6712;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b3c32-bcbc1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5d245-b9f2c;moreThanTwoDevs;5;0;0;0;0;false;false
rev_b34a7-de3de;moreThanTwoDevs;8;0;0;0;0;false;false
rev_df6a4-06d71;moreThanTwoDevs;9;0;0;0;0;false;false
rev_8d3e3-980d0;moreThanTwoDevs;7;0;0;0;0;false;true
rev_2708f-81074;oneDev;1;2;0;1;0;true;true
rev_fc580-0f96d;oneDev;1;0;0;0;0;false;false
rev_506c8-3651b;twoDevs;2;0;0;0;0;false;false
rev_e5009-d281d;oneDev;1;0;0;0;0;false;false
rev_62b58-0357d;twoDevs;2;0;0;0;0;false;false
rev_b5b3a-9359e;moreThanTwoDevs;3;0;0;0;0;false;true
rev_2a0cb-8bf19;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1b4e8-39ec5;twoDevs;2;0;0;0;0;false;false
rev_d20a7-4762d;twoDevs;2;0;0;0;0;false;false
rev_35590-8cf23;twoDevs;2;0;0;0;0;false;false
rev_61cc1-d1bc2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_93e73-8e34a;moreThanTwoDevs;12;0;0;0;0;false;false
rev_a8d3d-35860;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e54cd-a94a6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7a9ff-66275;twoDevs;2;0;0;0;0;false;false
rev_3343c-554c4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6b138-bf366;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ba715-d5cc2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_15656-a3431;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f597b-c1b89;moreThanTwoDevs;19;1;0;1;0;true;true
rev_3f3ce-e712c;oneDev;1;0;0;0;0;false;false
rev_a2512-4052d;twoDevs;2;0;0;0;0;false;false
rev_c0118-3ee0a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_691cd-203c4;twoDevs;2;0;0;0;0;false;false
rev_4baf7-65844;moreThanTwoDevs;3;0;0;0;0;false;false
rev_668da-c6058;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6d32c-8581c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ec812-469cd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_62db0-35c70;moreThanTwoDevs;4;0;0;0;0;false;true
rev_35c70-a2556;twoDevs;2;0;0;0;0;false;false
rev_c7275-aaaa7;twoDevs;2;0;0;0;0;false;true
rev_aaaa7-18376;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f84d1-7918f;twoDevs;2;0;0;0;0;false;true
rev_f6d46-d1157;oneDev;1;0;0;0;0;false;true
rev_efd8a-3a2e9;moreThanTwoDevs;4;0;0;0;0;false;true
rev_b7d79-a942d;twoDevs;2;0;0;0;0;false;true
rev_e0105-9bfb8;oneDev;1;0;0;0;0;false;false
rev_3b291-22ca0;oneDev;1;0;0;0;0;false;false
rev_754ce-a1710;twoDevs;2;0;0;0;0;false;false
rev_3d069-45d06;oneDev;1;0;0;0;0;false;false
rev_3e048-9282e;oneDev;1;0;0;0;0;false;false
rev_adf64-8f1a4;twoDevs;2;0;0;0;0;false;true
rev_1df18-73866;twoDevs;2;0;0;0;0;false;false
rev_695f9-0f574;twoDevs;2;0;0;0;0;false;false
rev_5bb21-9771c;twoDevs;2;0;0;0;0;false;false
rev_aca15-43426;oneDev;1;0;0;0;0;false;true
rev_b1832-ca937;oneDev;1;0;0;0;0;false;false
rev_5b371-066cd;oneDev;1;0;0;0;0;false;false
rev_aa910-19c79;oneDev;1;0;0;0;0;false;false
rev_19c79-dc511;twoDevs;2;0;0;0;0;false;false
rev_edbdd-4b1cc;oneDev;1;0;0;0;0;false;false
rev_c36bd-b568f;twoDevs;2;0;0;0;0;false;false
rev_2cf10-2f66e;twoDevs;2;0;0;0;0;false;false
rev_468ed-b74d3;oneDev;1;0;0;0;0;false;false
rev_6f99d-58aea;oneDev;1;0;0;0;0;false;true
rev_8c011-345cd;oneDev;1;0;0;0;0;false;false
rev_748ec-7db6a;oneDev;1;0;0;0;0;false;true
rev_7db6a-cfc87;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3dfa3-4b384;moreThanTwoDevs;3;1;1;1;1;true;false
rev_8475a-28a0a;twoDevs;2;0;0;0;0;false;true
rev_18257-1bc46;moreThanTwoDevs;3;0;0;0;0;false;false
rev_81828-babc6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d64c8-8c391;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fce57-2708e;twoDevs;2;0;0;0;0;false;false
rev_fbe20-ebe82;moreThanTwoDevs;3;0;0;0;0;false;true
rev_d84ac-436ae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_436ae-365ea;twoDevs;2;0;0;0;0;false;false
rev_f2a70-1e355;twoDevs;2;0;0;0;0;false;false
rev_72db7-c187d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_41d0e-ac3f9;twoDevs;2;0;0;0;0;false;false
rev_2240a-5df71;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c201c-5df71;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c4a71-39f41;twoDevs;2;0;0;0;0;false;false
rev_8d2ea-fbdc9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f75e9-63e19;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9bb2e-655d0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a10f8-1dfd5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_360f1-0dcfa;moreThanTwoDevs;6;0;0;0;0;false;false
rev_4a27d-237d7;twoDevs;2;0;0;0;0;false;false
rev_d47da-3368d;moreThanTwoDevs;7;0;0;0;0;false;true
rev_4b6fa-f9bcc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7bfcb-4e786;moreThanTwoDevs;3;0;0;0;0;false;true
rev_b647f-59943;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b647f-d7231;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8f2bb-52246;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ed619-b2341;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6f601-8ce3b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_15ab0-d3e50;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d01ed-09f86;moreThanTwoDevs;3;0;0;0;0;false;true
rev_a0499-a4af1;twoDevs;2;0;0;0;0;false;true
rev_a6a05-237d7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_99c7b-4e786;moreThanTwoDevs;3;0;0;0;0;false;true
rev_f6b56-fcc39;moreThanTwoDevs;6;0;0;0;0;false;true
rev_c7b96-5cb7c;twoDevs;2;0;0;0;0;false;true
rev_fcc39-fc141;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cd6cd-9ef8b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7b2c0-ac77a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8642d-8e10b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_fdee6-2075e;moreThanTwoDevs;13;0;0;0;0;false;true
rev_2b868-93178;moreThanTwoDevs;8;0;0;0;0;false;true
rev_bcd77-f0488;moreThanTwoDevs;3;0;0;0;0;false;false
