name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_e74c2-b9f44;oneDev;1;0;0;0;0;false;false
rev_5f1e1-4c67b;moreThanTwoDevs;3;2;0;0;0;true;false
rev_e6949-d9c15;twoDevs;2;1;0;0;0;true;false
rev_a221b-8da90;moreThanTwoDevs;3;0;0;0;0;false;false
rev_335d5-e40bf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f93a5-fdcd5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4bf52-af031;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2a1c9-1f9c5;twoDevs;2;0;0;0;0;false;false
rev_900a6-37b30;moreThanTwoDevs;3;0;0;0;0;false;false
rev_83f0a-271c0;moreThanTwoDevs;4;0;0;0;0;false;false
rev_271c0-143a1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_93354-4d67f;twoDevs;2;0;0;0;0;false;false
rev_9e1f4-dc710;moreThanTwoDevs;3;0;0;0;0;false;false
rev_941c5-0a526;twoDevs;2;0;0;0;0;false;false
rev_166fa-cdd0f;twoDevs;2;0;0;0;0;false;false
rev_1bbd3-4728a;twoDevs;2;0;0;0;0;false;false
rev_6c76e-c1e79;twoDevs;2;0;0;0;0;false;false
rev_ee05a-a378c;twoDevs;2;0;0;0;0;false;false
rev_3d94e-919c4;twoDevs;2;0;0;0;0;false;false
rev_4d8fa-a2d49;moreThanTwoDevs;4;0;0;0;0;false;false
rev_59021-03f08;twoDevs;2;0;0;0;0;false;false
rev_12d8d-077ef;moreThanTwoDevs;4;0;0;0;0;false;false
rev_077ef-a2f4b;twoDevs;2;0;0;0;0;false;false
rev_6fecc-63c6e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_42a3a-f527b;twoDevs;2;0;0;0;0;false;true
rev_1c594-3daa1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_19f51-ee174;twoDevs;2;0;0;0;0;false;false
rev_0c7f8-0e728;moreThanTwoDevs;3;0;0;0;0;false;true
rev_0e728-8d9a5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0e2dd-fbf99;moreThanTwoDevs;3;2;0;0;0;true;false
rev_32497-fbf99;moreThanTwoDevs;3;0;0;0;0;false;true
rev_1c947-d81b9;oneDev;1;0;0;0;0;false;false
rev_d81b9-72f0d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9121c-4195c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4195c-30b27;twoDevs;2;0;0;0;0;false;false
rev_224f9-f6948;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ecd6c-e53e0;twoDevs;2;0;0;0;0;false;false
rev_8a75d-066f4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f6948-1d8f8;twoDevs;2;0;0;0;0;false;false
rev_527ee-305c7;moreThanTwoDevs;3;1;0;0;0;true;false
rev_305c7-58654;twoDevs;2;0;0;0;0;false;false
rev_275fb-24479;moreThanTwoDevs;3;0;0;0;0;false;true
rev_c456b-856bb;twoDevs;2;0;0;0;0;false;false
rev_034a8-bf777;twoDevs;2;0;0;0;0;false;false
rev_e0c43-3833b;twoDevs;2;1;0;0;0;true;false
rev_3833b-461ee;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0e421-85019;moreThanTwoDevs;3;0;0;0;0;false;false
rev_642a6-1018a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ca7f7-d0a68;twoDevs;2;0;0;0;0;false;false
rev_69a10-b4e8a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f5c46-359bb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1d299-903e8;twoDevs;2;0;0;0;0;false;false
rev_e083b-a9742;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a4306-531c4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_80875-982e7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3580e-f0375;twoDevs;2;0;0;0;0;false;false
rev_d3306-f53b6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3216d-26405;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a0c3e-3c561;twoDevs;2;0;0;0;0;false;false
rev_3c561-fef61;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ac089-c107f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1f5cc-ad11a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a9c9e-f29b9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_164e9-02a3b;twoDevs;2;0;0;0;0;false;false
rev_02a3b-9c96c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_462ae-81972;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ad799-6dda5;twoDevs;2;0;0;0;0;false;false
rev_e67eb-28933;moreThanTwoDevs;4;0;0;0;0;false;true
rev_28933-cbd51;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7b5dc-2b620;moreThanTwoDevs;3;0;0;0;0;false;false
rev_69fb4-b109a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_55142-1967b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6a53f-118cb;twoDevs;2;0;0;0;0;false;false
rev_42c87-e7743;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8ce7e-813eb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5ef9f-85ff0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a3e56-81c5d;moreThanTwoDevs;7;0;0;0;0;false;false
rev_d80b5-9cf19;moreThanTwoDevs;4;0;0;0;0;false;false
rev_7199c-ef41d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3f374-3b2a4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6f182-54f8e;twoDevs;2;0;0;0;0;false;false
rev_ca924-93b96;twoDevs;2;0;0;0;0;false;false
rev_52780-527cd;twoDevs;2;0;0;0;0;false;false
rev_acb7c-1fa8f;twoDevs;2;0;0;0;0;false;false
rev_5449f-a0210;oneDev;1;0;0;0;0;false;false
rev_0c0cd-763d3;oneDev;1;37;0;0;0;true;true
rev_e2eb0-592b2;oneDev;1;0;0;0;0;false;false
rev_592b2-f49d8;twoDevs;2;0;0;0;0;false;false
rev_af481-7b7f7;twoDevs;2;0;0;0;0;false;false
rev_ec59e-17451;moreThanTwoDevs;3;0;0;0;0;false;false
rev_66247-5545c;oneDev;1;0;0;0;0;false;false
rev_c21a0-66bed;twoDevs;2;0;0;0;0;false;false
rev_b23cd-4c658;moreThanTwoDevs;4;0;0;0;0;false;false
rev_664eb-bd777;twoDevs;2;0;0;0;0;false;false
rev_7127e-8f341;moreThanTwoDevs;4;0;0;0;0;false;true
rev_8f341-e9751;twoDevs;2;0;0;0;0;false;false
rev_6b8d5-66eaa;twoDevs;2;0;0;0;0;false;false
rev_4165a-b6a8f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_e5697-897c7;twoDevs;2;0;0;0;0;false;false
rev_142ab-bf87b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d9bcf-4e6d4;twoDevs;2;0;0;0;0;false;false
rev_47b85-d64da;moreThanTwoDevs;5;0;0;0;0;false;false
rev_076b6-e7e8e;twoDevs;2;0;0;0;0;false;false
rev_9acb3-a7cf4;oneDev;1;0;0;0;0;false;false
rev_c5ddf-eee37;twoDevs;2;0;0;0;0;false;false
rev_eee37-5b40e;oneDev;1;1;0;0;0;true;true
rev_d4cdf-fac1a;twoDevs;2;0;0;0;0;false;false
rev_bc076-99e64;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e5ac6-e9b6e;moreThanTwoDevs;3;0;0;0;0;false;true
rev_e9b6e-ee5ec;twoDevs;2;0;0;0;0;false;false
rev_4d0f7-80f29;moreThanTwoDevs;6;0;0;0;0;false;false
rev_d9dec-f42cf;moreThanTwoDevs;3;0;0;0;0;false;false
rev_75c68-f42cf;moreThanTwoDevs;6;0;0;0;0;false;false
rev_6e90f-04cca;oneDev;1;0;0;0;0;false;false
rev_05eb1-04cca;twoDevs;2;0;0;0;0;false;false
rev_8d7a5-7a5fa;moreThanTwoDevs;9;0;0;0;0;false;false
rev_04cca-7a5fa;twoDevs;2;0;0;0;0;false;false
rev_ad1d8-c451b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0a140-e9a59;twoDevs;2;0;0;0;0;false;false
rev_dd9c5-bb86f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bb86f-d723f;twoDevs;2;0;0;0;0;false;false
rev_2319f-c77d2;moreThanTwoDevs;6;0;0;0;0;false;false
rev_648af-3ddf1;twoDevs;2;0;0;0;0;false;false
rev_1c6af-515c2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_515c2-f0180;moreThanTwoDevs;3;0;0;0;0;false;false
rev_779d9-57e9b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a72f2-e6040;moreThanTwoDevs;5;0;0;0;0;false;false
rev_e6040-d90d3;twoDevs;2;0;0;0;0;false;false
rev_f00a3-cb040;moreThanTwoDevs;5;0;0;0;0;false;false
rev_4bb7a-bafb9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f980e-4d3f2;moreThanTwoDevs;5;0;0;0;0;false;false
rev_d7cf5-25d61;twoDevs;2;0;0;0;0;false;false
