name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_533d6-fefc3;twoDevs;2;16;2;8;0;true;false
rev_59b95-f4d52;twoDevs;2;0;0;0;0;false;false
rev_ab8e4-ef30d;twoDevs;2;1;0;1;0;true;false
rev_70829-c35dd;twoDevs;2;0;0;0;0;false;false
rev_13069-dc1de;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6b8be-1e6e5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6fb14-1fb5f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0e6c4-ff4c4;twoDevs;2;0;0;0;0;false;false
rev_b803d-cffd9;twoDevs;2;0;0;0;0;false;false
rev_72941-5839e;twoDevs;2;0;0;0;0;false;false
rev_a193b-5c3c5;twoDevs;2;0;0;0;0;false;true
rev_32d0d-0d410;moreThanTwoDevs;3;0;0;0;0;false;true
rev_2d69b-ec419;twoDevs;2;0;0;0;0;false;false
rev_c111a-c2eeb;twoDevs;2;0;0;0;0;false;false
rev_94864-111c6;twoDevs;2;0;0;0;0;false;false
rev_d29fb-25054;twoDevs;2;0;0;0;0;false;false
rev_08b05-d3e2d;twoDevs;2;0;0;0;0;false;false
rev_bf40e-f28a5;twoDevs;2;0;0;0;0;false;false
rev_a60fe-9922b;twoDevs;2;0;0;0;0;false;false
rev_4e964-39fdb;twoDevs;2;0;0;0;0;false;false
rev_2f8a9-1c2e2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_27be0-5a974;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f1734-6ead4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_82422-1fb72;moreThanTwoDevs;4;0;0;0;0;false;false
rev_43a21-3730e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ac037-b3fee;moreThanTwoDevs;4;0;0;0;0;false;false
rev_b7d2e-e533a;moreThanTwoDevs;4;8;0;0;0;true;false
rev_13876-476cd;twoDevs;2;0;0;0;0;false;false
rev_d14f9-3393b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c3a85-7b689;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6dc2e-7873a;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c5079-2a8c9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_3d8d8-de60b;twoDevs;2;0;0;0;0;false;false
rev_54fb8-448d3;moreThanTwoDevs;5;0;0;0;0;false;false
rev_405c1-dddea;twoDevs;2;0;0;0;0;false;false
rev_fea43-8aeea;moreThanTwoDevs;3;0;0;0;0;false;false
rev_ed88d-8d7bb;twoDevs;2;0;0;0;0;false;false
rev_14445-525a1;twoDevs;2;0;0;0;0;false;false
rev_b6c03-d4de3;twoDevs;2;0;0;0;0;false;false
rev_72f84-2ae3b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c7878-985c9;twoDevs;2;0;0;0;0;false;false
rev_5c00f-beddf;twoDevs;2;0;0;0;0;false;false
rev_4e9d6-e72d6;moreThanTwoDevs;3;1;0;0;0;true;false
rev_9429f-32ac0;twoDevs;2;0;0;0;0;false;false
rev_2d9be-93660;twoDevs;2;0;0;0;0;false;false
rev_682b8-c29e7;twoDevs;2;0;0;0;0;false;false
rev_f8f5e-30f66;twoDevs;2;0;0;0;0;false;false
rev_705ba-2e821;twoDevs;2;0;0;0;0;false;false
rev_405a9-a3459;twoDevs;2;2;0;2;0;true;false
rev_b696b-73e1a;twoDevs;2;0;0;0;0;false;false
rev_a6348-31cc2;twoDevs;2;0;0;0;0;false;false
rev_5dd8b-35588;twoDevs;2;0;0;0;0;false;false
rev_a7190-06567;twoDevs;2;0;0;0;0;false;false
rev_588d3-26bbe;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6ace7-f642f;twoDevs;2;0;0;0;0;false;false
rev_13397-261c4;moreThanTwoDevs;3;3;0;1;0;true;false
rev_04b50-66660;twoDevs;2;0;0;0;0;false;false
rev_8314b-161e3;twoDevs;2;0;0;0;0;false;false
rev_8cd9a-2f0c0;twoDevs;2;0;0;0;0;false;false
rev_a27a4-cecbf;twoDevs;2;0;0;0;0;false;false
rev_ef0ce-1c325;twoDevs;2;0;0;0;0;false;false
rev_a9c73-91c89;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e3d77-66797;moreThanTwoDevs;3;14;0;0;0;true;true
rev_38f8b-fd249;moreThanTwoDevs;3;0;0;0;0;false;false
rev_66797-d4203;twoDevs;2;0;0;0;0;false;false
rev_02a34-b8136;moreThanTwoDevs;3;0;0;0;0;false;true
rev_e7fd2-b8e88;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2acbf-180d1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b330e-1df57;moreThanTwoDevs;4;0;0;0;0;false;false
rev_beb38-f86aa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f86aa-0a1f8;twoDevs;2;0;0;0;0;false;false
rev_222c2-318de;twoDevs;2;0;0;0;0;false;false
rev_5fafe-e8003;twoDevs;2;0;0;0;0;false;false
rev_5ec60-8ad98;twoDevs;2;0;0;0;0;false;false
rev_4f0b5-6c0b8;twoDevs;2;0;0;0;0;false;false
rev_5b91b-692a9;moreThanTwoDevs;3;0;0;0;0;false;false
rev_21df4-7b439;twoDevs;2;0;0;0;0;false;false
rev_4c37e-72ff4;twoDevs;2;0;0;0;0;false;false
rev_8c83e-21fe4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6f1ed-d253b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_83a28-3487f;moreThanTwoDevs;3;1;0;0;0;true;false
rev_3487f-eb7dd;twoDevs;2;0;0;0;0;false;false
rev_aeff6-d830a;twoDevs;2;0;0;0;0;false;false
rev_902a3-cf1f6;twoDevs;2;0;0;0;0;false;false
rev_7b5e8-3194e;twoDevs;2;0;0;0;0;false;false
rev_f1d36-6e331;twoDevs;2;0;0;0;0;false;false
rev_62ca1-83bec;twoDevs;2;0;0;0;0;false;false
rev_0cfc0-33feb;twoDevs;2;0;0;0;0;false;false
rev_97a3b-ac4d1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a58f6-26462;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a2542-a3fe6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_82a28-5d3d2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5d3d2-1d7ba;moreThanTwoDevs;3;0;0;0;0;false;false
rev_50251-a18c3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7d3ea-340c9;twoDevs;2;6;0;0;0;true;true
rev_585bc-7bd04;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a8c86-c70e4;twoDevs;2;0;0;0;0;false;false
