name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_52d97-cdbf4;moreThanTwoDevs;3;5;0;5;0;true;true
rev_2f9a0-65ec5;moreThanTwoDevs;3;9;0;3;0;true;false
rev_06feb-20f3e;moreThanTwoDevs;4;7;0;0;0;true;true
rev_72b2e-167dd;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2a8f6-7fb8a;twoDevs;2;0;0;0;0;false;false
rev_21ec6-a892f;twoDevs;2;0;0;0;0;false;false
rev_12b73-faba1;twoDevs;2;0;0;0;0;false;false
rev_0046a-6c0e6;twoDevs;2;0;0;0;0;false;false
rev_7440b-39f3e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a8f6a-753fe;moreThanTwoDevs;5;0;0;0;0;false;false
rev_40242-30820;twoDevs;2;0;0;0;0;false;false
rev_01293-5a967;twoDevs;2;0;0;0;0;false;false
rev_4230d-6b31d;twoDevs;2;0;0;0;0;false;false
rev_40cfd-2908e;twoDevs;2;0;0;0;0;false;false
rev_fa9af-0d876;twoDevs;2;0;0;0;0;false;false
rev_c221d-d8009;moreThanTwoDevs;4;0;0;0;0;false;false
rev_917ef-a536d;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a6e2b-28025;twoDevs;2;0;0;0;0;false;false
rev_5fbaa-7ca85;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2ab9d-e137f;twoDevs;2;0;0;0;0;false;false
rev_4c7d8-3fec8;twoDevs;2;0;0;0;0;false;false
rev_3fe14-65b09;twoDevs;2;0;0;0;0;false;false
rev_114dc-f17cc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8d560-27076;moreThanTwoDevs;4;0;0;0;0;false;false
rev_844fc-d91f3;twoDevs;2;0;0;0;0;false;false
rev_574cc-a3198;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a3198-acec5;twoDevs;2;0;0;0;0;false;false
rev_2dd48-f2e16;twoDevs;2;0;0;0;0;false;false
rev_d4072-e5c57;twoDevs;2;0;0;0;0;false;false
rev_c7eee-260c1;twoDevs;2;0;0;0;0;false;false
rev_c6c90-bf3f1;twoDevs;2;0;0;0;0;false;false
rev_2d96d-6e924;twoDevs;2;0;0;0;0;false;false
rev_507be-03743;twoDevs;2;0;0;0;0;false;false
rev_014d7-ac406;twoDevs;2;0;0;0;0;false;false
rev_bc8a8-9fdfc;twoDevs;2;0;0;0;0;false;false
rev_112a0-7146c;twoDevs;2;0;0;0;0;false;false
rev_5f840-fe8a2;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a46ee-7d99b;twoDevs;2;0;0;0;0;false;false
rev_75139-972f9;twoDevs;2;0;0;0;0;false;false
rev_65214-5cd72;moreThanTwoDevs;3;0;0;0;0;false;false
rev_800f4-ed3b8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_04fb2-070e6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_02780-77c8d;twoDevs;2;0;0;0;0;false;false
rev_1c57f-bc32a;twoDevs;2;0;0;0;0;false;false
rev_6f8c5-3adf1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_24267-8c21c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_75c18-a31a1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_adac1-84fed;moreThanTwoDevs;3;0;0;0;0;false;false
rev_f0984-0c9a6;twoDevs;2;0;0;0;0;false;false
rev_da92e-37ec9;twoDevs;2;0;0;0;0;false;false
rev_2978d-d8aed;twoDevs;2;0;0;0;0;false;false
rev_6c48e-3fdd9;twoDevs;2;0;0;0;0;false;false
rev_86de2-0462e;twoDevs;2;0;0;0;0;false;false
rev_8477f-3cb61;twoDevs;2;0;0;0;0;false;false
rev_bf3bd-64916;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3cd50-19be8;twoDevs;2;0;0;0;0;false;false
