name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_b91a2-5df0a;oneDev;1;0;0;0;0;false;false
rev_1a8ec-7cb86;oneDev;1;0;0;0;0;false;false
rev_09650-979c1;twoDevs;2;0;0;0;0;false;false
rev_567c1-602ec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cc042-69716;moreThanTwoDevs;3;0;0;0;0;false;false
rev_18435-69716;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e0214-69716;moreThanTwoDevs;7;0;0;0;0;false;false
rev_37fa5-3e8ce;moreThanTwoDevs;4;0;0;0;0;false;false
rev_21928-18435;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b510f-1eebb;twoDevs;2;0;0;0;0;false;false
rev_73bf0-1eebb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_88da7-2672d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_901c5-641b1;moreThanTwoDevs;4;1;0;0;0;true;false
rev_c7ad3-641b1;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ea91e-68a3d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cb49d-9e08c;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bdb9e-4e49f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_78e50-4e49f;moreThanTwoDevs;6;0;0;0;0;false;false
rev_285ac-474bb;moreThanTwoDevs;6;0;0;0;0;false;false
rev_e9fc3-679e1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_796d6-679e1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b1267-2efb5;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5e523-62f62;twoDevs;2;0;0;0;0;false;false
rev_02bc2-f2dcd;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2b1af-f2dcd;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f1f3e-b07c0;moreThanTwoDevs;6;0;0;0;0;false;false
rev_3f736-a63a5;moreThanTwoDevs;7;0;0;0;0;false;false
rev_7033e-d6afc;moreThanTwoDevs;5;0;0;0;0;false;false
rev_65ac0-18819;twoDevs;2;0;0;0;0;false;false
rev_69ee6-3fb68;twoDevs;2;0;0;0;0;false;false
rev_66900-f4b3d;moreThanTwoDevs;6;0;0;0;0;false;false
rev_f946d-bbd88;moreThanTwoDevs;6;5;0;4;0;true;false
rev_a4914-bbd88;moreThanTwoDevs;3;0;0;0;0;false;false
rev_3f7d2-3d1c2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_210c5-218f0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_aae01-07e1a;moreThanTwoDevs;8;0;0;0;0;false;false
rev_1679e-29eaf;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f8bc8-d9554;moreThanTwoDevs;3;0;0;0;0;false;false
rev_abe83-6cf30;moreThanTwoDevs;6;0;0;0;0;false;false
rev_b6891-38918;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c50ba-6c51b;twoDevs;2;0;0;0;0;false;false
rev_472b3-a9309;moreThanTwoDevs;8;0;0;0;0;false;false
rev_a755b-99fa7;moreThanTwoDevs;4;0;0;0;0;false;false
rev_92737-2c3c9;moreThanTwoDevs;7;1;0;1;0;true;false
rev_3f9cb-5a003;moreThanTwoDevs;5;0;0;0;0;false;false
rev_8a9d4-54ea5;moreThanTwoDevs;6;0;0;0;0;false;false
rev_df55c-8a1a0;twoDevs;2;0;0;0;0;false;false
rev_8a1a0-03f1e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_adeef-bb606;moreThanTwoDevs;11;8;0;0;0;true;false
rev_81260-414bb;moreThanTwoDevs;3;0;0;0;0;false;false
rev_efcdd-f318a;moreThanTwoDevs;7;0;0;0;0;false;false
rev_1fc80-79f45;moreThanTwoDevs;8;0;0;0;0;false;false
rev_1fc80-79f45;moreThanTwoDevs;8;0;0;0;0;false;false
rev_58df0-bfd86;moreThanTwoDevs;3;0;0;0;0;false;false
rev_35f75-48f27;moreThanTwoDevs;8;1;0;0;0;true;false
rev_79f45-e09f9;moreThanTwoDevs;12;0;0;0;0;false;false
rev_943cf-b20e9;moreThanTwoDevs;7;1;0;1;0;true;false
rev_29cae-cbe82;moreThanTwoDevs;4;7;1;0;0;true;false
rev_0c0ad-c5e1e;moreThanTwoDevs;4;0;0;0;0;false;false
rev_12716-864d6;moreThanTwoDevs;4;2;0;2;0;true;false
rev_c6508-95b86;moreThanTwoDevs;4;0;0;0;0;false;false
rev_15b5c-d6a50;moreThanTwoDevs;7;0;0;0;0;false;false
rev_5e36e-bf682;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0e8dc-adc97;moreThanTwoDevs;3;0;0;0;0;false;false
rev_64694-1c83b;twoDevs;2;0;0;0;0;false;false
rev_47ff4-ebfba;moreThanTwoDevs;7;0;0;0;0;false;false
rev_5f315-b2daa;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ea4b3-6efd3;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ff63c-b9a57;moreThanTwoDevs;3;0;0;0;0;false;false
rev_0ea66-f0e35;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9b156-393f6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_becb4-d93b8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b4673-935e7;twoDevs;2;7;6;1;1;true;false
rev_02829-afae7;twoDevs;2;0;0;0;0;false;false
rev_eb466-c79f0;twoDevs;2;0;0;0;0;false;false
rev_efc6f-27e1f;moreThanTwoDevs;8;0;0;0;0;false;false
rev_ea592-04f52;moreThanTwoDevs;4;0;0;0;0;false;false
rev_bbafb-09098;moreThanTwoDevs;4;0;0;0;0;false;false
rev_320c4-1f412;twoDevs;2;11;9;6;4;true;false
rev_cffd8-46ab6;twoDevs;2;0;0;0;0;false;false
rev_7d732-4d200;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4a918-4d200;moreThanTwoDevs;3;0;0;0;0;false;false
rev_31d2a-ce3d2;moreThanTwoDevs;7;0;0;0;0;false;false
rev_31d2a-c2bdf;moreThanTwoDevs;4;0;0;0;0;false;false
rev_1b4c5-e420d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_70e06-6dd69;moreThanTwoDevs;4;0;0;0;0;false;true
rev_7893d-f15e2;oneDev;1;0;0;0;0;false;false
rev_f6780-f15e2;moreThanTwoDevs;8;0;0;0;0;false;true
rev_48b2b-3b74b;moreThanTwoDevs;7;0;0;0;0;false;true
rev_3b74b-2ae78;moreThanTwoDevs;4;3;0;0;0;true;false
rev_6cf1e-caed9;moreThanTwoDevs;4;0;0;0;0;false;false
rev_33d01-caed9;moreThanTwoDevs;10;8;0;3;0;true;false
rev_450f1-caed9;moreThanTwoDevs;8;0;0;0;0;false;false
rev_d2b16-86ea8;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c1885-f4122;twoDevs;2;2;0;0;0;true;false
rev_a4ba2-7bbd8;twoDevs;2;0;0;0;0;false;false
rev_429ee-cf770;twoDevs;2;0;0;0;0;false;false
rev_ed5b6-f4122;moreThanTwoDevs;9;4;1;3;1;true;false
rev_34d0c-bd9a3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_61293-dd363;twoDevs;2;0;0;0;0;false;false
rev_6c955-883c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_38280-1f704;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e8b1c-fa9f7;moreThanTwoDevs;5;0;0;0;0;false;false
rev_6d30c-23194;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8f699-f085f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7e263-29a6e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_c9095-29a6e;twoDevs;2;2;0;0;0;true;false
rev_421e3-233e2;moreThanTwoDevs;8;2;0;0;0;true;false
rev_5d8be-db4c0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_39c00-a8ed5;moreThanTwoDevs;17;0;0;0;0;false;false
