name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_34a26-a2bd5;moreThanTwoDevs;3;0;0;0;0;false;false
rev_37905-06696;twoDevs;2;0;0;0;0;false;false
rev_afb43-9983b;oneDev;1;0;0;0;0;false;false
rev_f8533-c8416;oneDev;1;0;0;0;0;false;false
rev_4d87f-74114;twoDevs;2;0;0;0;0;false;false
rev_8c3ee-37a6d;twoDevs;2;0;0;0;0;false;false
rev_d392d-6ed16;twoDevs;2;5;0;1;0;true;false
rev_6ed16-df542;twoDevs;2;0;0;0;0;false;false
rev_ed907-6adf7;twoDevs;2;0;0;0;0;false;false
rev_5e945-74c9b;twoDevs;2;0;0;0;0;false;false
rev_dca75-3b050;moreThanTwoDevs;4;1;0;1;0;true;false
rev_92d0c-242a7;moreThanTwoDevs;3;0;0;0;0;false;false
rev_242a7-80caf;twoDevs;2;0;0;0;0;false;false
rev_8ecde-6c119;oneDev;1;0;0;0;0;false;false
rev_9f683-bfb7e;oneDev;1;0;0;0;0;false;false
rev_830a6-b8080;oneDev;1;0;0;0;0;false;false
rev_e53e9-e4519;oneDev;1;0;0;0;0;false;false
rev_3add0-cbad5;oneDev;1;0;0;0;0;false;false
rev_0a9fb-5d50b;oneDev;1;0;0;0;0;false;false
rev_1ec11-dc561;twoDevs;2;0;0;0;0;false;false
rev_dc561-e1df0;twoDevs;2;0;0;0;0;false;false
rev_d263d-a7611;twoDevs;2;0;0;0;0;false;false
rev_d9bbb-f6afc;twoDevs;2;0;0;0;0;false;false
rev_2a2f3-fbd0b;twoDevs;2;0;0;0;0;false;false
rev_fd40c-02a7f;twoDevs;2;0;0;0;0;false;false
rev_f6eed-46d6e;twoDevs;2;0;0;0;0;false;false
rev_62d4a-82d1f;twoDevs;2;0;0;0;0;false;false
rev_67b11-ae77a;oneDev;1;0;0;0;0;false;false
rev_02bd2-bd589;oneDev;1;0;0;0;0;false;false
rev_187d0-f71ad;oneDev;1;0;0;0;0;false;false
rev_f71ad-fdda9;oneDev;1;0;0;0;0;false;false
rev_31b92-8c87a;twoDevs;2;0;0;0;0;false;false
rev_d36f3-e9850;twoDevs;2;0;0;0;0;false;false
rev_a109d-cec3f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a0abe-ddb3f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_2fe71-91663;twoDevs;2;0;0;0;0;false;false
rev_a3de0-8f857;twoDevs;2;0;0;0;0;false;false
rev_ff0a4-48652;twoDevs;2;0;0;0;0;false;false
rev_48652-de07e;twoDevs;2;0;0;0;0;false;false
rev_2675f-50d9c;twoDevs;2;0;0;0;0;false;false
rev_cc1c3-97808;twoDevs;2;0;0;0;0;false;false
rev_26d6a-2aa61;twoDevs;2;0;0;0;0;false;false
rev_99e2b-f92cf;oneDev;1;0;0;0;0;false;false
rev_b6e9b-7a618;twoDevs;2;0;0;0;0;false;false
rev_4cd8c-fa831;twoDevs;2;0;0;0;0;false;false
rev_164a0-c8ed7;twoDevs;2;0;0;0;0;false;false
rev_f7499-f5682;twoDevs;2;0;0;0;0;false;false
rev_b9f09-5b343;moreThanTwoDevs;3;1;0;0;0;true;false
rev_b2491-b9f51;twoDevs;2;0;0;0;0;false;false
rev_58035-f093f;moreThanTwoDevs;3;0;0;0;0;false;false
rev_58035-f6f9d;twoDevs;2;0;0;0;0;false;false
rev_73e9b-0c9f9;twoDevs;2;0;0;0;0;false;false
rev_bd356-aae76;twoDevs;2;0;0;0;0;false;false
rev_0541f-780b4;twoDevs;2;0;0;0;0;false;false
rev_31d3a-f5b98;twoDevs;2;0;0;0;0;false;false
rev_0ca35-66f48;twoDevs;2;0;0;0;0;false;false
rev_f3d80-de1ba;twoDevs;2;0;0;0;0;false;false
rev_a7099-bcb25;twoDevs;2;0;0;0;0;false;false
rev_57dd1-140ac;twoDevs;2;0;0;0;0;false;false
rev_8a0bf-37fd8;twoDevs;2;0;0;0;0;false;false
rev_30204-1d9a6;twoDevs;2;0;0;0;0;false;false
rev_ebcbf-24269;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6a073-a32ad;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d901d-a24fe;twoDevs;2;0;0;0;0;false;false
rev_c668b-3dfd8;twoDevs;2;0;0;0;0;false;false
rev_b0174-246bf;twoDevs;2;0;0;0;0;false;false
rev_62dcb-083ff;twoDevs;2;0;0;0;0;false;false
rev_64dbe-3a357;twoDevs;2;0;0;0;0;false;false
rev_f7bcd-a1330;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4c360-5eacf;twoDevs;2;0;0;0;0;false;false
rev_92df5-d9565;twoDevs;2;0;0;0;0;false;false
rev_34f4d-17bd1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a4803-f4df7;twoDevs;2;0;0;0;0;false;false
rev_22f59-fa6cb;twoDevs;2;0;0;0;0;false;false
rev_a46c5-69d9b;twoDevs;2;0;0;0;0;false;false
rev_2867b-d5c28;twoDevs;2;0;0;0;0;false;false
rev_ad721-d99ad;twoDevs;2;0;0;0;0;false;false
rev_b1a80-94cb2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_709e8-34295;twoDevs;2;0;0;0;0;false;false
rev_e30ab-6db80;twoDevs;2;0;0;0;0;false;false
rev_10414-d197d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e5053-67e12;twoDevs;2;0;0;0;0;false;false
rev_7708c-7edec;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b8f00-5fb89;moreThanTwoDevs;3;0;0;0;0;false;false
rev_1fcea-84560;moreThanTwoDevs;3;0;0;0;0;false;false
rev_18f4b-48709;twoDevs;2;0;0;0;0;false;false
rev_19c1b-1542e;twoDevs;2;0;0;0;0;false;false
rev_f0914-c8360;moreThanTwoDevs;3;0;0;0;0;false;false
rev_429ac-e03e4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9909b-9737b;twoDevs;2;0;0;0;0;false;false
rev_ceb85-9b091;twoDevs;2;0;0;0;0;false;false
rev_3159b-60b6d;twoDevs;2;0;0;0;0;false;false
rev_e9a33-57783;moreThanTwoDevs;3;0;0;0;0;false;false
rev_94802-6dfe6;moreThanTwoDevs;4;0;0;0;0;false;false
rev_6a94f-fce17;twoDevs;2;0;0;0;0;false;false
rev_1706c-97b64;twoDevs;2;0;0;0;0;false;false
rev_75f46-e307e;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9beb7-31233;twoDevs;2;0;0;0;0;false;false
rev_2fe6d-fc82a;twoDevs;2;0;0;0;0;false;false
rev_35d27-9ae71;moreThanTwoDevs;5;0;0;0;0;false;false
rev_df3b6-90acd;twoDevs;2;0;0;0;0;false;false
rev_1f982-17544;twoDevs;2;0;0;0;0;false;false
rev_da160-c7f59;twoDevs;2;0;0;0;0;false;false
rev_df6a5-caf2a;twoDevs;2;0;0;0;0;false;false
rev_9e8a5-b8602;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4f771-3e8ef;moreThanTwoDevs;3;0;0;0;0;false;false
rev_6d1c9-09b45;twoDevs;2;0;0;0;0;false;false
rev_18253-bc056;twoDevs;2;0;0;0;0;false;false
rev_ffd43-e636e;twoDevs;2;0;0;0;0;false;false
rev_3c26b-bea2a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_4b86b-df758;twoDevs;2;0;0;0;0;false;false
rev_820b3-ca0bf;twoDevs;2;0;0;0;0;false;false
rev_da512-19e1e;twoDevs;2;0;0;0;0;false;false
rev_88581-c3259;twoDevs;2;0;0;0;0;false;false
rev_9598b-6367a;twoDevs;2;0;0;0;0;false;false
rev_b55b9-f3987;twoDevs;2;0;0;0;0;false;false
rev_3056c-6660a;twoDevs;2;0;0;0;0;false;false
rev_589e5-711a4;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cd8b0-80740;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5722d-7692a;moreThanTwoDevs;4;0;0;0;0;false;false
