name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_0e699-bc5fd;twoDevs;2;0;0;0;0;false;false
rev_76699-edb56;twoDevs;2;0;0;0;0;false;false
rev_10171-38ecd;twoDevs;2;0;0;0;0;false;false
rev_3b655-5d657;twoDevs;2;0;0;0;0;false;false
rev_9c854-640a3;moreThanTwoDevs;4;0;0;0;0;false;true
rev_22a46-c60f2;twoDevs;2;0;0;0;0;false;false
rev_6b20e-d9974;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a1451-94a17;moreThanTwoDevs;4;0;0;0;0;false;false
rev_19995-94a17;twoDevs;2;0;0;0;0;false;false
rev_e53f5-bbcae;moreThanTwoDevs;3;0;0;0;0;false;false
rev_7d039-346b6;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8780b-c116c;moreThanTwoDevs;3;0;0;0;0;false;true
rev_3f58c-d4257;oneDev;1;0;0;0;0;false;true
rev_dad26-8407d;twoDevs;2;0;0;0;0;false;false
rev_f4671-16bdc;moreThanTwoDevs;4;0;0;0;0;false;false
rev_70a02-96044;twoDevs;2;0;0;0;0;false;false
rev_09a43-e9f02;moreThanTwoDevs;3;0;0;0;0;false;false
rev_95545-57fd0;oneDev;1;0;0;0;0;false;false
rev_28fdf-0883f;oneDev;1;0;0;0;0;false;false
rev_580e1-7bb93;oneDev;1;0;0;0;0;false;false
rev_7bb93-6c2e0;twoDevs;2;0;0;0;0;false;false
rev_9965f-2c90a;twoDevs;2;0;0;0;0;false;false
rev_953d8-5722f;oneDev;1;0;0;0;0;false;false
rev_cb718-43767;oneDev;1;0;0;0;0;false;false
rev_953d8-d852d;oneDev;1;0;0;0;0;false;false
rev_ec808-28b84;oneDev;1;0;0;0;0;false;false
rev_8a38d-ad4a9;oneDev;1;0;0;0;0;false;true
rev_202e6-378e3;oneDev;1;0;0;0;0;false;false
rev_378e3-43767;oneDev;1;0;0;0;0;false;true
rev_fa8ee-da448;twoDevs;2;0;0;0;0;false;false
rev_7e90c-5898e;oneDev;1;0;0;0;0;false;false
rev_3e510-659f1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_e0713-6db2f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_5d067-aa5ff;twoDevs;2;0;0;0;0;false;false
rev_1075c-7ae0f;moreThanTwoDevs;8;0;0;0;0;false;true
