name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_fc95a-e3329;twoDevs;2;0;0;0;0;false;false
rev_d0e4c-a35fa;twoDevs;2;0;0;0;0;false;false
rev_e1939-e8c1d;oneDev;1;0;0;0;0;false;false
rev_007d2-294e9;oneDev;1;0;0;0;0;false;false
rev_8e8fa-946f1;twoDevs;2;0;0;0;0;false;false
rev_a59bb-37acd;twoDevs;2;0;0;0;0;false;false
rev_df0b2-229d6;twoDevs;2;0;0;0;0;false;false
rev_3c862-dae9c;moreThanTwoDevs;3;0;0;0;0;false;false
rev_08dae-0aba3;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9f26f-ba80f;moreThanTwoDevs;4;0;0;0;0;false;false
rev_18c19-e2c17;moreThanTwoDevs;7;0;0;0;0;false;false
rev_fedaf-84c3a;moreThanTwoDevs;3;0;0;0;0;false;false
rev_41f21-520d7;twoDevs;2;0;0;0;0;false;false
rev_c4e02-8f032;moreThanTwoDevs;3;0;0;0;0;false;false
rev_8a4e1-5d440;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b5c9f-95c60;twoDevs;2;0;0;0;0;false;false
rev_1e9c5-4b65c;twoDevs;2;0;0;0;0;false;false
rev_9d476-86d12;twoDevs;2;0;0;0;0;false;false
rev_9343b-73a86;moreThanTwoDevs;6;1;0;1;0;true;false
rev_99091-37f8b;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4aa9f-20681;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2342a-79f8a;moreThanTwoDevs;6;0;0;0;0;false;false
rev_9d753-22cbc;moreThanTwoDevs;3;0;0;0;0;false;false
rev_cabce-8badb;twoDevs;2;0;0;0;0;false;false
rev_0f764-e2f1a;twoDevs;2;0;0;0;0;false;false
rev_d2f51-43f9e;twoDevs;2;0;0;0;0;false;false
rev_9e708-7dca4;twoDevs;2;0;0;0;0;false;false
rev_a1fa3-dcd1c;twoDevs;2;0;0;0;0;false;false
rev_6e3d8-96177;twoDevs;2;0;0;0;0;false;false
rev_8b2be-627e0;twoDevs;2;0;0;0;0;false;false
rev_69bca-1746d;twoDevs;2;0;0;0;0;false;false
rev_37e52-f7c72;twoDevs;2;0;0;0;0;false;false
rev_9930f-22d6c;twoDevs;2;0;0;0;0;false;false
rev_60f65-16460;twoDevs;2;0;0;0;0;false;false
rev_728dd-3fa9a;twoDevs;2;0;0;0;0;false;false
rev_79bcf-1b944;twoDevs;2;0;0;0;0;false;false
rev_76b67-f4740;twoDevs;2;0;0;0;0;false;false
rev_f4740-71ee3;oneDev;1;0;0;0;0;false;false
rev_19c43-ae0b2;moreThanTwoDevs;4;1;0;1;0;true;false
rev_65ee8-7c98c;moreThanTwoDevs;11;0;0;0;0;false;false
rev_8518f-ed123;moreThanTwoDevs;10;0;0;0;0;false;false
rev_28a29-be8bb;moreThanTwoDevs;7;4;0;0;0;true;false
rev_8d6f5-8868a;moreThanTwoDevs;7;3;0;0;0;true;false
rev_a3c54-2a322;moreThanTwoDevs;8;1;0;0;0;true;false
rev_99643-359b8;moreThanTwoDevs;9;1;0;0;0;true;false
rev_c4c19-c8246;moreThanTwoDevs;8;0;0;0;0;false;false
rev_c9e60-142f5;moreThanTwoDevs;13;8;0;2;0;true;true
rev_b8bc0-d86d8;twoDevs;2;0;0;0;0;false;false
rev_07d99-bc73d;moreThanTwoDevs;3;1;0;0;0;true;false
rev_dd924-1b0a6;oneDev;1;0;0;0;0;false;false
rev_aad7b-765d9;oneDev;1;0;0;0;0;false;false
rev_63605-bc92e;twoDevs;2;0;0;0;0;false;false
rev_d3aa6-d7423;twoDevs;2;0;0;0;0;false;false
rev_0ce79-91d32;oneDev;1;0;0;0;0;false;false
rev_b5aae-6dcbc;oneDev;1;0;0;0;0;false;false
rev_9feaf-97f16;oneDev;1;0;0;0;0;false;false
rev_97f16-7d397;oneDev;1;0;0;0;0;false;false
rev_19291-1a30c;twoDevs;2;0;0;0;0;false;false
rev_2214b-dda42;twoDevs;2;0;0;0;0;false;false
rev_801bb-a0b9d;moreThanTwoDevs;3;0;0;0;0;false;false
rev_a5647-d86ea;moreThanTwoDevs;4;0;0;0;0;false;false
rev_82a35-8da2b;twoDevs;2;0;0;0;0;false;false
rev_533ad-90e03;twoDevs;2;0;0;0;0;false;false
rev_a9fe7-a2e81;twoDevs;2;0;0;0;0;false;false
rev_5b540-4eb3d;twoDevs;2;0;0;0;0;false;false
rev_0f865-e9a97;moreThanTwoDevs;4;0;0;0;0;false;false
rev_fe671-01712;moreThanTwoDevs;5;0;0;0;0;false;false
rev_ddc74-06f59;twoDevs;2;0;0;0;0;false;false
rev_20093-8b2bf;twoDevs;2;0;0;0;0;false;false
rev_604b1-440ce;moreThanTwoDevs;3;0;0;0;0;false;false
rev_b5515-f71d0;moreThanTwoDevs;3;0;0;0;0;false;false
rev_2db5d-d5914;twoDevs;2;0;0;0;0;false;false
rev_7586c-49fde;twoDevs;2;0;0;0;0;false;false
rev_2cd44-8cd46;twoDevs;2;0;0;0;0;false;false
rev_03f88-98242;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d6db9-4088f;oneDev;1;0;0;0;0;false;false
rev_77507-c6b47;moreThanTwoDevs;5;3;0;1;0;true;true
rev_94ae1-79290;moreThanTwoDevs;4;0;0;0;0;false;false
rev_a91d8-219d2;moreThanTwoDevs;4;0;0;0;0;false;false
rev_c9f54-574ed;twoDevs;2;0;0;0;0;false;false
rev_991aa-03d7c;moreThanTwoDevs;4;0;0;0;0;false;true
rev_07854-e168f;twoDevs;2;0;0;0;0;false;false
rev_61ecb-beba8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_f689d-5afd2;oneDev;1;0;0;0;0;false;false
