name;category;numDev;conflict;conflictDS;conflictCL;conflictsIFP;hasConflictsJava;hasConflictsNonJava
rev_3885c-92513;twoDevs;2;0;0;0;0;false;false
rev_ce399-1e10c;twoDevs;2;0;0;0;0;false;false
rev_e7ea4-d0464;twoDevs;2;0;0;0;0;false;false
rev_5f08e-c8f33;twoDevs;2;0;0;0;0;false;false
rev_53128-a4674;twoDevs;2;0;0;0;0;false;false
rev_a0b21-5847c;twoDevs;2;0;0;0;0;false;false
rev_4f429-046b8;moreThanTwoDevs;4;0;0;0;0;false;false
rev_4c54e-e2125;moreThanTwoDevs;5;0;0;0;0;false;true
rev_75bb9-776ac;moreThanTwoDevs;5;0;0;0;0;false;false
rev_c5c68-41338;moreThanTwoDevs;5;0;0;0;0;false;false
rev_3f137-d1d04;moreThanTwoDevs;5;3;0;3;0;true;true
rev_b72f4-8e4a8;moreThanTwoDevs;5;0;0;0;0;false;false
rev_7d246-f023e;moreThanTwoDevs;5;0;0;0;0;false;false
rev_9ddc3-cb68d;moreThanTwoDevs;5;0;0;0;0;false;false
rev_2be74-91c5e;moreThanTwoDevs;5;0;0;0;0;false;true
rev_3b1f3-ed40b;moreThanTwoDevs;5;0;0;0;0;false;false
rev_056fb-223fb;moreThanTwoDevs;5;0;0;0;0;false;false
rev_efdab-9d655;moreThanTwoDevs;5;0;0;0;0;false;false
rev_38750-4d818;moreThanTwoDevs;4;0;0;0;0;false;false
rev_d7d38-556ba;moreThanTwoDevs;6;0;0;0;0;false;false
rev_024b2-84339;moreThanTwoDevs;7;0;0;0;0;false;false
rev_2adec-2d5dc;moreThanTwoDevs;8;0;0;0;0;false;true
rev_2d5dc-19cc1;moreThanTwoDevs;3;0;0;0;0;false;false
rev_be5c1-38a53;moreThanTwoDevs;8;0;0;0;0;false;false
rev_d19c4-9c52b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_d049d-9c52b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_be70e-9c52b;moreThanTwoDevs;3;0;0;0;0;false;false
rev_9c52b-a9862;moreThanTwoDevs;9;0;0;0;0;false;false
rev_d11cb-11017;moreThanTwoDevs;4;0;0;0;0;false;false
rev_ba07d-5c369;moreThanTwoDevs;4;0;0;0;0;false;false
rev_8dd01-19259;moreThanTwoDevs;4;0;0;0;0;false;false
rev_11017-26042;moreThanTwoDevs;3;0;0;0;0;false;false
rev_5c369-3aa2b;moreThanTwoDevs;12;0;0;0;0;false;false
rev_99047-64694;moreThanTwoDevs;4;0;0;0;0;false;false
rev_64694-45844;oneDev;1;0;0;0;0;false;false
rev_51156-1ade3;oneDev;1;0;0;0;0;false;false
rev_1ade3-eef8c;oneDev;1;0;0;0;0;false;false
rev_efb86-0b364;moreThanTwoDevs;13;0;0;0;0;false;false
rev_bb3d8-5d7c3;moreThanTwoDevs;4;0;0;0;0;false;false
